error2004,
  predictedround actualround,
1              9          10,
2              6          20,
3             14          15,
4             11           8,
0.2426051,
  predictedround actualround,
1              8          10,
2              9          20,
3             10          15,
4              9           8,
0.23866,
  predictedround actualround,
1             11          10,
2              2          20,
3              7          15,
4             14           8,
0.4088646,
  predictedround actualround,
1             14          10,
2              8          20,
3              9          15,
4              9           8,
0.2942353,
  predictedround actualround,
1              4          10,
2              8          20,
3              7          15,
4              8           8,
0.3302755,
  predictedround actualround,
1              8          10,
2              6          20,
3             14          15,
4             11           8,
0.2456174,
  predictedround actualround,
1              8          10,
2              3          20,
3              9          15,
4              6           8,
0.3375864,
  predictedround actualround,
1              6          10,
2              3          20,
3              8          15,
4              9           8,
0.3608867,
  predictedround actualround,
1              7          10,
2              6          20,
3              6          15,
4              7           8,
0.3452689,
  predictedround actualround,
1              3          10,
2              3          20,
3              6          15,
4              6           8,
0.4336263,
