ppcluster4
  predictedround actualround
1             16          15
2             17           9
3              3           6
4              4           5
0.1573434 
  predictedround actualround
1             13          15
2              6           9
3             12           6
4             11           5
0.2050666 
  predictedround actualround
1             15          15
2             14           9
3              5           6
4              5           5
0.07631018 
  predictedround actualround
1             17          15
2              8           9
3              4           6
4              1           5
0.1128775 
  predictedround actualround
1             15          15
2             15           9
3              5           6
4              6           5
0.09800153 
  predictedround actualround
1             17          15
2             19           9
3              5           6
4              3           5
0.184993 
  predictedround actualround
1             10          15
2             18           9
3              5           6
4              4           5
0.2090421 
  predictedround actualround
1             16          15
2             16           9
3             10           6
4              1           5
0.2044432 
  predictedround actualround
1             12          15
2             13           9
3              6           6
4              3           5
0.1185142 
  predictedround actualround
1             19          15
2             15           9
3              6           6
4              2           5
0.1638268 
