ppcluster4
  predictedround actualround
1             18          33
2             15          23
3             13          26
4             28          15
0.3756538 
  predictedround actualround
1             13          33
2             16          23
3             11          26
4             26          15
0.4013844 
  predictedround actualround
1             14          33
2             15          23
3             20          26
4             24          15
0.3182169 
  predictedround actualround
1             16          33
2             10          23
3             12          26
4             19          15
0.3651097 
  predictedround actualround
1             12          33
2             18          23
3             13          26
4             31          15
0.4161486 
  predictedround actualround
1             22          33
2              8          23
3              8          26
4             21          15
0.3772892 
  predictedround actualround
1             16          33
2              6          23
3             19          26
4             25          15
0.3955815 
  predictedround actualround
1             21          33
2             16          23
3             15          26
4             31          15
0.3456917 
  predictedround actualround
1             11          33
2             14          23
3             21          26
4             25          15
0.3470221 
  predictedround actualround
1              6          33
2             30          23
3             18          26
4             30          15
0.4326158 
