ppcluster4
  predictedround actualround
1              4          18
2              4           9
3             11           9
4              4          11
0.2676416 
  predictedround actualround
1             10          18
2              9           9
3             18           9
4              8          11
0.1908679 
  predictedround actualround
1             13          18
2             11           9
3             15           9
4             17          11
0.1783133 
  predictedround actualround
1             11          18
2             13           9
3             21           9
4             10          11
0.2217583 
  predictedround actualround
1              4          18
2              6           9
3              9           9
4              6          11
0.2040848 
  predictedround actualround
1              3          18
2             16           9
3             17           9
4             13          11
0.2851659 
  predictedround actualround
1             14          18
2             10           9
3              9           9
4             15          11
0.08915798 
  predictedround actualround
1              8          18
2             14           9
3             16           9
4              7          11
0.2417962 
  predictedround actualround
1             21          18
2             20           9
3             20           9
4              8          11
0.2598531 
  predictedround actualround
1              7          18
2              9           9
3             15           9
4             11          11
0.1571274 
