ppcluster4
  predictedround actualround
1             27          34
2             28          25
3             37          27
4             27          37
0.1054806 
  predictedround actualround
1             28          34
2             26          25
3             29          27
4             33          37
0.04607517 
  predictedround actualround
1             25          34
2             28          25
3             25          27
4             22          37
0.1030407 
  predictedround actualround
1             42          34
2             21          25
3             31          27
4             32          37
0.07489042 
  predictedround actualround
1             27          34
2             25          25
3             41          27
4             30          37
0.098215 
  predictedround actualround
1             38          34
2             31          25
3             26          27
4             28          37
0.07313101 
  predictedround actualround
1             18          34
2             25          25
3             42          27
4             32          37
0.1279103 
  predictedround actualround
1             27          34
2             27          25
3             32          27
4             34          37
0.06219959 
  predictedround actualround
1             34          34
2             24          25
3             26          27
4             26          37
0.04862199 
  predictedround actualround
1             28          34
2             21          25
3             48          27
4             39          37
0.1169452 
