ppcluster4
  predictedround actualround
1             10           2
2              2           7
3              5           4
4              0           1
0.2975347 
  predictedround actualround
1              1           2
2              3           7
3              8           4
4              3           1
0.2187141 
  predictedround actualround
1              3           2
2              3           7
3              5           4
4              3           1
0.152122 
  predictedround actualround
1              1           2
2              2           7
3             11           4
4              9           1
0.406027 
  predictedround actualround
1              3           2
2              2           7
3             13           4
4             12           1
0.5026169 
  predictedround actualround
1              0           2
2              4           7
3              7           4
4             11           1
0.3458122 
  predictedround actualround
1              2           2
2              1           7
3             10           4
4             10           1
0.4105529 
  predictedround actualround
1              2           2
2              3           7
3              7           4
4             12           1
0.3471649 
  predictedround actualround
1              1           2
2              7           7
3              6           4
4              8           1
0.1986251 
  predictedround actualround
1              3           2
2              2           7
3             11           4
4             10           1
0.4247359 
