ppcluster4
  predictedround actualround
1              3           6
2             12           4
3             12           2
4              9           6
0.3604307 
  predictedround actualround
1              1           6
2              6           4
3              1           2
4              7           6
0.1513633 
  predictedround actualround
1             11           6
2              8           4
3             11           2
4             11           6
0.3572365 
  predictedround actualround
1              0           6
2              6           4
3              5           2
4              7           6
0.1665372 
  predictedround actualround
1              0           6
2             10           4
3              5           2
4              2           6
0.2810294 
  predictedround actualround
1              4           6
2              5           4
3             11           2
4              7           6
0.1929067 
  predictedround actualround
1             10           6
2              7           4
3             14           2
4             13           6
0.3851983 
  predictedround actualround
1              1           6
2              0           4
3              4           2
4              0           6
0.2662754 
  predictedround actualround
1              3           6
2             11           4
3              3           2
4              4           6
0.1828703 
  predictedround actualround
1              8           6
2             13           4
3              8           2
4             12           6
0.3366318 
