V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
3,0,0,0,0,0,4,15,28,20,140,0,1,0,0,4,1,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
3,3,0,0,0,0,3,19,19,29,217,0,0,1,5,7,2,1,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,13,0,0,0,0,1,0,0,2,0,0,0,2,0,3,0,1,8,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
6,0,0,0,0,0,3,18,11,22,262,0,0,0,1,9,1,1,1,0,0,0,0,0,4,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,31,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,1,4,0,2,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7
7,4,0,0,0,0,11,22,20,18,242,1,0,0,3,12,1,1,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,7
7,1,0,0,0,1,9,19,20,21,202,0,0,1,2,12,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,10,0,0,0,2,1,0,3,1,0,0,0,0,0,3,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7
7,1,0,0,0,1,7,24,22,26,184,0,1,3,2,6,2,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,4,4,0,0,1,0,0,0,0,0,2,1,1,13,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6
6,1,0,0,0,0,7,17,23,21,182,0,1,1,0,4,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,1,10,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,3,0,0,0,2,10,17,24,33,187,0,0,4,4,11,3,0,0,0,0,0,0,1,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,19,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7
7,5,0,0,0,2,5,22,29,18,276,1,0,1,1,7,4,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,28,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,4,0,1,0,1,3,0,2,1,0,0,0,0,0,1,1,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,13
13,6,0,0,0,1,6,29,29,15,295,0,0,0,3,5,1,3,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,29,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2,2,12,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
