V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
0,0,12,59,0,0,0,0,2,0,16,0,3,0,1,0,0,4
4,0,7,10,14,0,0,4,7,0,22,0,9,0,0,5,0,0
0,2,5,16,9,0,0,3,4,0,20,1,8,0,2,3,0,2
2,3,12,27,23,0,0,7,4,0,19,1,7,0,1,1,0,1
1,2,6,22,23,1,0,7,7,0,14,0,3,0,0,1,0,3
3,2,16,21,31,0,0,1,5,0,18,0,14,1,3,0,0,2
2,4,9,13,0,0,0,7,4,0,13,0,16,0,3,3,0,1
1,1,6,0,0,1,0,5,1,0,5,0,11,0,1,1,0,2
2,1,5,5,3,0,0,5,0,0,9,0,25,0,1,3,0,1
1,1,4,1,1,0,0,1,0,0,7,0,27,0,1,9,0,1
1,0,4,6,12,1,0,2,1,0,17,1,24,1,0,4,0,3
3,2,3,6,2,0,0,3,1,0,20,0,9,0,0,0,1,3
3,2,1,14,8,0,0,1,8,0,34,1,16,0,0,4,0,5
5,3,5,18,7,0,0,2,3,0,30,1,14,2,0,5,0,4
4,2,11,1,2,1,0,1,0,0,20,1,10,0,0,1,0,3
3,1,4,4,2,1,0,3,2,0,18,0,14,0,0,1,1,2
2,0,8,1,0,0,0,3,4,0,33,0,7,0,1,2,0,21
21,0,4,4,4,1,0,3,1,0,32,1,11,0,1,1,0,22
22,5,2,6,5,1,0,1,3,0,33,1,14,0,1,0,0,10
10,0,7,0,0,1,0,0,4,0,36,0,12,0,0,0,0,12
12,1,7,0,1,1,0,4,5,0,33,0,23,0,0,5,10,12
12,3,10,5,0,0,0,1,9,0,21,0,13,1,0,1,10,18
18,0,2,6,4,0,0,2,4,0,20,0,11,1,2,0,18,18
18,2,2,6,3,1,0,0,2,0,17,0,6,0,3,2,8,11
11,1,5,9,6,0,0,1,1,0,19,0,6,1,2,8,5,10
10,3,3,6,7,0,0,3,4,0,10,0,10,0,2,0,4,8
8,1,3,7,2,0,0,1,2,0,16,0,11,1,0,1,9,12
12,2,2,5,2,0,0,4,0,0,21,0,6,4,0,1,13,12
12,2,4,10,2,0,0,2,1,0,14,0,16,2,0,3,10,20
20,4,9,8,1,0,0,2,2,0,18,1,10,0,0,1,12,10
10,0,9,7,3,0,0,3,2,1,7,0,10,1,2,3,9,8
8,3,4,10,2,0,0,1,3,1,23,0,8,0,1,1,12,6
6,1,6,6,3,0,0,3,5,0,6,0,28,0,0,6,9,14
14,1,2,7,0,0,0,2,2,0,16,0,16,0,0,4,15,6
6,0,4,14,4,0,0,2,2,0,19,0,9,0,1,3,11,12
12,2,2,12,3,0,0,1,5,0,10,0,11,0,3,2,9,18
18,1,2,7,5,0,0,3,1,0,11,0,12,0,0,1,8,2
2,2,8,14,0,0,0,2,7,0,20,0,18,1,0,3,5,10
10,0,1,13,1,0,0,2,5,0,73,0,8,0,1,0,2,18
18,0,3,22,9,1,0,2,2,0,33,0,9,0,1,2,11,9
9,4,4,12,4,1,0,1,6,0,18,0,7,0,0,1,5,9
9,1,5,9,6,0,0,0,6,0,22,0,11,0,1,3,14,12
12,2,9,8,3,0,0,5,3,1,23,0,14,0,3,2,5,14
14,2,3,5,2,0,0,3,5,0,43,0,14,0,0,0,6,12
12,1,10,12,4,0,0,2,5,0,18,1,19,0,0,5,9,7
7,1,6,12,9,1,0,2,1,0,45,0,14,0,0,4,2,15
15,2,6,19,4,0,0,2,6,0,22,0,10,0,1,1,9,14
14,0,2,18,1,0,0,3,2,0,32,0,14,0,1,2,16,3
3,3,6,14,1,0,0,1,3,0,36,0,9,0,1,0,9,8
8,0,4,18,2,3,0,3,5,0,24,1,9,0,0,1,5,17
17,0,3,15,5,2,0,2,0,1,31,1,11,3,0,1,4,4
4,0,9,24,7,0,0,1,2,1,77,0,5,1,1,3,9,5
5,0,10,16,1,0,0,1,2,0,43,0,2,0,0,1,7,14
14,4,7,12,1,2,0,2,6,0,31,1,4,2,0,2,8,9
