V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
0,3,0,9,8,0,0,0,10,0,19,0,0,2,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,2,1,0,0,0,4,0,24,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,5,2,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,1,2,3,9,0,0,0,5,0,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
2,1,0,1,14,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,3,0,0,0,0,0,1,7,1,22,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,4,0,0,0,0,2,1,8,3,64,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,3,0,0,0,0,0,1,4,0,51,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,8
8,3,0,0,0,0,0,0,3,0,22,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,0,0,0,0,0,0,3,0,46,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,3,0,0,0,0,1,1,9,2,66,1,0,3,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2,5,0,0,0,0,1,3,5,3,66,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,3,3,10,9,1,130,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6
6,2,0,0,0,0,2,0,6,3,92,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,5,0,0,0,0,1,1,3,2,67,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
5,3,0,0,0,0,2,4,0,4,61,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6
6,6,0,0,0,0,0,2,7,5,71,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9
9,4,0,0,0,1,0,1,1,5,52,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,9
9,3,0,0,0,4,0,1,4,2,74,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13,6,0,0,0,0,0,1,2,0,99,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
