V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
5,2,0,51,0,0,0,2,7,0,10,1,0,2,3,2,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3
3,2,0,28,0,1,0,3,2,0,1,0,0,1,0,0,0,3,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,4
4,0,0,78,0,1,0,1,3,0,4,1,0,1,1,0,4,1,1,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,3
3,1,0,51,0,0,0,2,5,0,4,0,0,0,0,3,2,0,0,0,7,0,0,1,0,1,0,1,0,0,1,0,0,1,2
2,3,0,221,0,2,0,3,0,0,4,0,1,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13
13,0,0,222,0,0,1,4,0,0,5,1,0,1,0,4,0,5,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,9
9,0,0,259,0,4,0,1,1,0,5,2,0,2,3,5,5,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,2,0,308,0,3,0,1,2,0,3,4,0,1,7,12,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,155,50,2,1,3,18,2,23,5,0,4,6,13,30,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3
3,0,0,22,32,1,0,1,16,7,27,2,0,0,4,12,63,3,0,0,5,13,0,0,2,2,0,15,2,0,1,1,0,11,17
17,3,0,0,28,3,0,1,15,9,37,2,1,1,9,18,32,5,0,0,0,12,1,0,0,5,4,15,0,0,1,0,1,3,9
9,0,0,42,0,1,0,1,2,5,38,2,0,2,5,14,28,7,0,0,7,0,0,0,0,3,3,11,1,0,0,0,1,4,8
8,1,0,30,0,1,0,2,4,5,23,2,0,1,3,13,22,3,0,0,9,0,0,0,1,1,0,13,1,0,0,0,0,2,10
10,2,0,32,0,3,0,2,2,5,31,3,0,2,3,17,25,5,2,0,7,0,0,0,1,0,0,14,1,0,0,0,0,0,8
8,1,0,38,0,2,0,4,3,4,21,4,0,0,1,5,15,4,1,0,7,0,0,0,1,1,1,13,0,0,0,0,0,2,5
5,0,0,55,0,2,0,1,3,5,28,1,0,0,5,11,26,3,1,0,14,0,0,0,1,4,1,4,0,0,1,1,2,3,8
8,2,0,53,0,1,0,0,3,4,22,1,0,1,2,10,23,2,2,0,16,0,1,0,1,1,0,11,0,0,0,1,0,6,13
13,1,0,80,0,0,0,3,8,2,23,3,0,1,2,19,30,6,0,0,19,0,0,0,2,1,1,20,1,0,0,0,1,5,4
4,2,0,66,0,2,0,2,3,2,32,0,0,1,5,14,34,4,1,0,26,0,0,0,2,2,1,13,1,0,0,0,0,2,15
