V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
22,6,2,13,0,3,2,3,11,3,15,2,0,3,0,23,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23
23,6,1,9,2,4,1,0,18,3,15,1,0,1,0,30,13,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,19
19,2,3,11,4,3,2,0,11,2,15,3,0,1,0,33,21,2,0,1,6,0,1,0,0,1,1,0,0,0,0,0,0,1,12
12,3,2,15,0,1,0,0,17,2,13,0,0,2,0,14,15,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,26
26,4,1,28,0,3,1,0,11,0,26,1,0,2,1,16,17,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,3,21
21,3,1,15,2,4,2,1,14,2,27,2,0,1,1,18,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
37,3,2,27,0,9,2,1,10,1,19,0,0,3,0,27,22,2,0,0,3,0,1,0,0,0,0,0,1,0,0,0,2,1,20
20,6,0,36,2,6,4,3,17,2,21,1,0,4,0,18,21,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,12
12,3,0,30,0,4,2,1,9,1,13,0,0,1,0,8,23,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,4,16
16,3,1,31,1,3,1,7,8,1,18,0,0,1,0,13,19,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14
