V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
5,1,0,11,30,0,0,1,6,2,1,0,1,0,1,0,2,5
5,0,0,9,26,0,0,1,6,1,1,0,0,2,0,0,0,9
9,4,0,8,23,0,0,7,2,1,4,0,0,2,0,0,0,4
4,1,0,8,25,0,0,0,8,0,2,0,0,2,0,1,1,3
3,3,0,6,30,0,0,1,9,0,1,0,0,2,0,0,0,10
10,2,0,14,26,0,1,1,6,0,4,0,0,2,0,0,0,13
13,0,5,7,9,0,1,3,58,0,5,5,0,2,0,1,1,14
14,2,1,0,0,1,3,0,61,0,14,4,0,1,0,0,3,6
6,1,0,6,5,0,2,0,5,0,15,6,0,0,0,0,4,12
12,0,0,1,2,0,1,0,7,0,8,5,0,0,1,0,0,12
12,0,0,0,1,0,4,0,5,0,6,2,0,0,0,0,1,8
8,1,0,2,3,0,2,0,4,0,0,0,0,0,1,1,1,16
16,3,0,2,0,0,1,0,4,0,7,4,0,0,1,0,0,17
17,1,0,1,0,0,1,0,9,0,5,0,0,0,1,1,0,20
20,0,0,5,0,0,0,1,3,0,4,5,1,0,0,0,0,12
12,0,0,0,7,0,3,0,3,0,7,3,0,2,0,0,0,22
22,0,0,0,5,0,0,2,6,2,6,3,0,2,0,0,0,9
9,4,0,4,3,0,1,1,4,0,5,2,0,0,0,1,0,16
16,2,0,0,0,0,1,1,7,1,5,3,0,0,0,1,1,13
13,0,0,0,1,0,0,1,13,0,2,5,0,1,0,0,0,8
8,0,0,0,1,0,1,0,8,0,5,2,0,0,1,1,0,22
22,0,0,0,2,0,0,2,3,0,4,3,0,0,0,0,0,23
23,3,0,0,2,0,2,1,6,0,15,4,0,0,0,0,1,12
12,3,0,1,0,0,0,1,5,0,11,1,0,0,0,0,0,15
15,1,0,0,0,0,0,1,2,0,6,0,0,0,1,0,2,10
10,2,0,0,0,0,0,1,5,0,10,0,0,0,0,0,0,3
3,1,0,0,0,0,1,1,1,0,24,2,0,0,2,0,0,10
10,3,0,0,0,0,0,2,1,0,11,2,0,0,0,0,0,11
11,0,0,0,0,0,0,0,10,0,22,1,0,0,0,0,0,8
8,3,0,0,0,0,1,2,2,1,20,0,0,0,1,2,1,8
8,4,0,0,1,0,0,0,4,0,20,0,0,0,0,0,0,21
21,3,0,0,0,1,2,0,4,0,26,0,0,0,1,0,0,23
23,2,0,0,0,0,1,2,3,0,21,0,0,0,0,0,0,31
31,2,0,0,0,0,0,0,5,0,17,0,0,0,1,0,0,18
18,1,0,0,0,1,0,0,7,0,36,0,0,0,0,0,0,14
14,0,0,0,0,0,1,0,5,0,30,0,1,0,0,0,0,9
9,3,0,0,0,0,0,1,4,0,28,0,0,0,0,0,0,22
22,1,0,0,0,0,0,2,2,0,19,0,0,0,0,0,0,15
15,0,0,0,0,0,0,1,3,0,21,12,0,0,0,0,0,11
11,2,0,0,0,0,0,2,5,0,30,6,0,0,0,0,0,9
9,0,0,0,0,0,0,1,9,0,18,0,0,0,0,0,0,13
13,2,0,0,0,0,0,0,5,0,43,3,0,0,0,0,0,46
46,2,0,0,0,0,1,0,2,0,27,1,0,0,5,3,0,18
18,3,0,0,0,0,1,0,11,0,35,6,0,0,1,0,0,17
17,1,0,0,0,0,0,1,14,0,34,0,0,0,1,1,0,23
23,3,0,0,0,0,0,1,23,0,48,2,0,0,1,1,1,26
26,1,0,0,0,0,1,1,15,3,55,3,0,0,2,0,0,30
30,1,0,0,0,0,0,1,15,0,15,4,0,2,1,0,0,29
29,0,0,0,0,0,0,1,15,0,21,2,0,0,1,0,1,25
25,0,0,0,0,0,0,0,12,0,34,1,0,0,0,0,1,26
26,1,0,0,0,0,0,0,15,0,35,1,0,0,0,0,1,26
26,1,0,0,0,0,0,0,11,0,19,1,0,1,0,0,5,29
29,1,0,0,0,0,0,1,9,0,19,1,1,0,0,0,0,34
34,1,0,0,0,0,0,0,9,1,11,0,1,0,1,0,0,22
