V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
10,0,0,0,0,0,3,0,4,0,9,0,0,1,0,8,18,1,0,0,0,0,0,2,0,3,0,24,0,0,0,0,11,3,24,2,0,0,0,1,7,3,6,0,5,0,0,0,0,1,18,15,1,0,0,0,1,2,1,6,0,81,0,0,0,0,7,59,4,1,0,0,0,0,1,0,5,0,41,0,0,1,1,4,6,2,0,0,0,0,0,1,1,2,0,7,0,0,0,2,0,8,9
9,1,0,0,0,0,0,0,2,0,8,0,0,0,0,3,9,2,0,0,0,0,1,1,2,5,0,12,0,0,0,0,3,6,23,3,0,0,0,1,7,2,6,0,6,0,0,0,0,1,24,8,1,0,0,0,0,2,2,5,0,70,0,0,2,0,12,42,5,0,0,0,0,0,2,1,2,0,21,1,0,0,0,1,1,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,1,4,6
6,2,0,0,0,0,1,1,8,0,7,0,0,0,0,9,7,1,0,0,0,0,0,1,1,3,0,16,0,0,0,1,19,6,10,1,2,0,0,2,12,2,6,0,16,0,0,0,0,3,16,5,1,1,0,0,1,4,0,1,0,74,0,0,0,0,9,59,5,1,0,0,0,1,0,0,7,0,32,0,0,0,0,0,5,1,0,0,0,0,0,2,1,3,0,2,0,0,0,0,4,8,9
9,0,2,0,0,0,4,0,5,0,9,0,0,0,0,4,14,4,2,0,0,0,1,5,1,3,0,21,0,0,0,0,9,3,26,6,0,0,0,1,8,4,6,0,14,0,1,1,0,3,19,6,3,0,0,0,2,5,0,4,0,73,0,0,1,2,12,28,8,1,0,0,0,0,3,1,1,0,25,0,0,0,0,0,3,2,1,0,0,0,0,2,1,0,0,2,0,0,1,0,2,9,10
10,1,0,0,0,3,1,1,4,0,15,0,0,1,0,11,20,1,0,0,0,0,0,4,1,5,0,15,0,0,0,1,17,6,20,3,2,0,0,1,11,4,4,0,9,0,0,3,0,2,21,4,3,0,0,0,2,5,1,3,0,74,0,0,0,0,21,49,2,0,0,0,0,0,3,0,3,0,24,0,0,0,0,2,4,2,3,0,0,0,0,2,1,1,0,2,0,0,0,0,2,10,11
11,1,0,0,0,1,2,1,3,0,4,0,0,0,0,4,10,7,0,0,0,0,0,2,0,4,0,10,0,0,0,1,10,7,18,2,0,0,0,0,7,2,5,0,3,0,0,5,1,7,35,9,3,0,0,0,2,3,1,9,0,75,0,0,0,1,10,31,6,1,0,0,0,0,2,2,3,0,18,0,0,1,0,0,3,2,0,0,0,0,0,1,3,3,0,2,0,0,0,0,7,10,9
9,0,1,0,0,0,0,0,3,0,12,0,0,3,0,6,12,5,0,3,0,0,1,2,0,3,0,7,0,0,1,0,8,8,20,3,7,0,0,1,10,1,8,0,7,0,0,2,0,4,17,4,0,1,0,0,0,2,1,14,1,57,0,0,2,0,12,28,5,1,2,0,0,0,0,0,1,0,15,0,0,0,0,4,2,5,0,4,0,0,1,1,0,2,0,1,0,0,0,1,5,4,8
8,1,0,23,76,0,0,1,4,0,20,0,0,0,0,6,13,4,1,0,22,57,0,0,0,1,0,7,1,0,0,0,1,9,9,0,0,68,151,1,4,1,10,0,33,0,0,0,3,11,17,9,1,0,46,86,0,1,0,4,1,21,0,0,0,2,12,53,4,0,0,11,13,0,4,1,1,0,6,0,0,0,0,9,4,2,0,0,36,33,1,5,0,3,1,3,0,0,0,1,5,4,19
19,1,1,40,51,1,2,1,6,1,15,0,0,0,0,4,8,1,1,1,18,73,0,1,1,0,2,4,0,0,1,0,0,3,16,1,0,126,127,1,4,0,12,2,45,0,0,1,0,10,43,10,1,5,73,75,1,2,0,4,0,7,0,0,1,1,11,22,4,0,0,20,20,0,0,0,0,1,4,0,0,0,0,5,3,4,0,1,29,27,2,3,1,2,1,7,1,0,1,1,3,10,9
9,1,0,2,7,1,4,0,3,2,17,0,0,0,0,5,13,1,0,0,1,3,0,3,0,3,3,7,1,0,0,0,1,11,14,2,1,13,4,0,5,2,12,7,136,0,0,1,0,9,32,6,1,0,2,10,0,3,0,14,3,20,0,0,3,2,8,18,6,1,0,0,2,0,4,0,4,3,22,0,0,0,0,1,8,2,0,1,0,1,0,3,1,5,3,12,2,0,0,0,1,7,7
