V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
8,1,0,0,0,2,0,1,3,0,12,0,0,3,11,23,12,11
11,2,0,0,0,3,2,2,3,0,14,2,0,3,5,23,15,9
9,0,1,0,0,2,1,1,3,1,21,5,0,1,8,23,25,2
2,2,1,0,0,0,4,2,2,0,15,5,0,3,7,16,19,8
8,0,0,0,0,4,0,4,5,1,3,1,0,3,11,10,22,13
13,5,0,0,0,5,6,5,1,1,0,4,0,2,9,24,22,13
13,2,0,0,0,3,3,1,3,1,0,6,0,1,7,14,26,13
13,4,0,0,0,4,3,1,2,0,3,6,0,3,8,16,23,25
25,3,0,0,0,0,5,0,1,1,6,2,0,0,8,8,22,26
26,3,1,0,0,4,6,0,2,0,6,1,0,2,13,11,21,39
39,1,0,0,0,2,5,4,3,2,13,5,0,3,9,13,24,19
19,2,0,0,0,3,7,2,2,0,12,3,0,2,4,22,18,16
16,3,0,0,0,3,3,0,4,0,25,5,0,0,7,16,15,23
23,6,0,0,0,2,2,0,2,0,17,7,0,0,9,18,23,25
25,2,0,0,0,0,4,1,5,0,12,5,0,4,8,17,18,18
18,3,2,0,0,2,2,0,10,0,15,2,0,0,19,19,28,11
11,4,0,0,0,5,5,1,8,1,16,1,0,1,7,23,34,18
18,1,0,0,0,3,2,2,4,1,10,2,0,6,10,26,25,20
20,3,1,0,0,8,9,2,8,0,8,1,0,1,6,23,27,23
23,5,0,0,0,5,2,1,9,0,12,2,0,1,1,9,26,17
17,4,2,0,0,6,1,1,5,0,14,3,0,2,13,13,22,30
30,2,0,0,0,9,2,0,4,0,9,1,0,2,8,18,19,11
11,3,1,0,0,7,0,1,6,0,13,0,0,2,8,19,30,13
13,2,1,0,0,4,2,1,9,0,10,1,0,1,10,11,29,28
28,1,0,0,0,3,4,3,3,0,7,2,0,3,1,15,21,31
31,3,3,0,0,7,2,3,4,0,6,3,0,4,8,13,15,22
22,1,1,0,0,5,7,4,1,0,4,4,0,1,9,16,23,13
13,3,1,0,0,5,6,7,4,0,12,3,0,2,12,14,25,11
11,0,1,0,0,4,3,6,1,0,7,1,0,6,9,19,31,10
10,3,0,0,0,4,3,6,0,0,9,2,0,1,4,12,30,16
16,2,2,0,0,7,4,6,2,0,4,4,0,2,9,15,11,17
17,3,0,0,0,5,4,6,1,1,5,3,0,3,6,19,40,22
22,1,0,0,0,3,2,1,2,0,9,6,1,0,9,15,23,14
14,0,0,0,0,10,0,6,0,0,5,4,0,0,10,11,27,8
8,0,0,0,0,3,4,8,1,1,13,3,0,2,6,17,34,12
12,2,0,0,0,7,3,7,1,0,5,2,0,4,9,9,21,10
10,0,0,0,0,5,1,3,1,0,6,5,0,0,12,16,13,13
13,4,1,0,0,4,8,3,1,2,5,0,0,1,13,12,25,16
16,1,0,0,0,4,3,3,1,0,6,1,0,2,8,11,26,16
16,0,0,0,0,8,4,7,4,0,5,4,0,2,7,14,14,8
8,3,0,0,0,13,2,7,7,0,9,6,0,4,9,12,26,18
18,2,0,0,0,7,4,6,1,0,2,0,2,6,17,15,37,17
17,3,0,0,0,6,4,6,6,6,5,4,0,1,7,10,37,11
11,3,2,0,0,6,6,8,1,7,13,4,0,0,7,13,26,18
18,6,0,0,0,7,2,6,1,1,5,1,0,1,7,14,19,22
22,1,0,0,0,4,4,4,3,2,6,4,0,3,3,12,17,24
24,3,0,0,0,8,2,7,1,52,10,1,0,3,12,17,14,32
32,3,2,0,0,8,1,9,1,48,6,1,0,0,15,13,20,15
15,2,0,0,0,5,6,4,0,32,1,3,1,4,9,12,23,11
11,1,0,0,0,3,2,5,0,56,7,3,0,2,12,11,50,20
20,2,1,0,0,4,7,9,0,40,10,1,0,2,16,9,251,18
18,2,1,0,0,7,7,10,2,42,7,1,0,0,4,9,25,15
15,3,0,0,0,3,1,9,0,41,2,0,0,2,1,4,13,21
21,4,0,0,0,6,5,6,0,45,5,1,1,1,2,9,15,22
