V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
5,0,0,17,1,0,0,1,3,1,17,1,6,2,0,2,7,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,9,1,1,2,5,0,0,1,5,2,5,3,18,2,3,17,22,5,2,0,1,0,0,0,3,1,0,8,0,8,1,0,0,14,5
5,1,0,7,0,0,0,1,1,1,13,1,8,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,6,0,0,8,2,1,0,8,3,2,9,3,20,3,3,6,14,7,0,0,6,1,0,0,0,1,1,8,2,14,2,0,3,48,4
4,1,0,12,0,0,0,1,4,0,15,2,10,0,0,4,4,3,1,0,2,0,0,0,0,1,1,2,0,3,0,0,3,2,7,1,0,9,1,0,0,2,3,1,8,2,26,2,3,24,16,8,0,0,1,1,0,0,1,1,1,4,1,10,2,1,5,7,5
5,0,0,8,2,0,0,0,3,1,14,1,16,1,0,5,1,2,1,0,1,0,0,0,0,3,1,6,0,4,0,1,0,1,13,3,0,7,2,0,0,7,6,0,4,2,25,4,4,19,11,4,1,0,5,3,0,0,0,0,1,6,0,13,2,0,11,6,3
3,0,0,4,0,0,0,0,1,1,10,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,8,3,0,6,4,0,0,0,3,4,7,2,24,3,0,18,6,5,3,1,3,2,0,0,0,4,1,2,0,10,2,2,4,17,9
9,0,0,0,1,0,0,0,4,1,7,1,5,0,0,1,5,2,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,2,14,3,1,4,4,0,0,4,2,3,1,0,23,4,2,12,12,7,0,0,0,2,0,0,2,1,0,1,0,17,0,1,5,8,3
3,0,2,0,0,1,0,2,5,4,10,2,11,4,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0,4,2,7,3,0,4,0,1,3,25,20,0,56,3,2,12,0,2,1,3,1,0,0,0,0,0,6,16,1,43,5,2,3,0,11
11,1,0,1,4,2,0,0,5,12,5,2,9,2,0,3,3,4,0,0,0,0,0,0,0,1,1,3,2,4,0,1,1,3,8,2,2,1,6,4,0,6,1,18,13,2,27,1,4,6,18,5,0,0,0,1,1,0,1,1,9,14,1,8,2,0,1,11,9
9,3,1,1,0,0,0,0,0,7,13,1,6,1,0,3,5,3,0,0,0,0,0,0,0,1,4,2,1,2,0,0,1,1,9,1,1,6,1,7,0,5,0,36,12,1,29,2,2,13,5,6,0,0,1,0,3,0,1,0,4,14,5,16,2,0,2,5,7
7,1,1,2,0,1,0,2,0,6,5,2,10,1,0,2,7,0,0,0,0,0,0,0,3,4,0,6,0,3,0,0,0,1,8,4,0,7,3,4,0,4,1,38,22,1,17,3,1,7,9,6,2,1,2,1,2,0,2,0,4,7,0,9,2,0,3,8,11
11,2,0,0,0,0,0,2,2,3,11,0,4,0,1,6,1,5,0,0,2,0,0,0,0,2,1,7,0,4,1,0,0,1,6,2,2,3,0,4,0,8,6,63,31,0,32,6,1,14,6,5,2,0,1,1,2,0,4,3,10,20,0,8,4,0,2,4,8
8,1,0,5,1,1,0,1,2,12,1,0,6,0,1,2,6,0,1,0,1,0,1,0,0,1,1,2,0,2,0,0,2,2,8,2,0,7,0,2,0,1,3,53,24,1,26,1,1,15,10,6,6,0,6,3,0,0,3,2,15,17,1,13,0,0,2,10,2
2,3,0,8,1,0,0,1,4,7,11,1,6,2,0,4,6,2,0,0,0,0,0,0,0,4,0,12,2,2,0,0,1,0,6,2,1,7,2,3,0,6,11,33,59,0,27,3,3,9,10,6,2,0,2,1,1,0,6,4,10,19,0,10,2,1,2,6,10
10,2,0,0,1,0,0,2,2,6,73,2,4,2,0,2,4,1,1,0,1,0,2,0,0,0,0,16,0,3,0,0,1,2,17,1,0,5,0,3,0,2,7,31,296,0,17,3,0,11,7,4,2,0,1,1,6,0,2,3,14,105,0,5,1,1,2,2,3
3,3,0,2,0,1,0,1,4,2,61,1,9,2,0,2,7,2,0,0,0,0,0,0,1,5,1,16,0,2,0,0,0,2,12,3,1,3,2,5,0,3,6,33,140,1,15,1,0,7,11,3,2,1,1,0,1,0,1,5,8,65,2,9,4,0,4,6,7
7,1,0,1,1,0,0,0,2,12,57,2,11,1,0,2,3,1,0,0,3,0,0,0,1,4,0,16,2,5,0,0,2,2,10,3,0,1,0,11,0,4,13,35,149,2,20,5,1,10,4,6,0,0,0,1,1,0,1,2,11,83,0,3,0,0,1,6,6
6,1,0,5,2,0,0,1,2,10,97,1,11,2,0,2,8,4,0,0,5,0,0,0,1,4,1,8,0,6,0,0,1,1,7,3,0,8,4,1,0,6,4,29,124,1,13,1,2,6,10,5,2,0,2,0,1,0,2,3,10,66,0,6,2,1,4,8,4
4,3,0,5,12,0,0,0,2,3,51,0,12,2,1,3,8,0,0,0,0,0,0,0,0,1,1,3,0,2,2,0,2,3,11,2,0,4,8,0,0,3,12,25,131,1,21,1,2,9,15,7,5,0,5,2,1,0,2,4,7,61,0,14,0,0,3,9,3
