V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
7,0,1,33,83,1,0,0,10,78,50,0,8,0,3,11,8,0,0,0,3,6,1,0,0,2,3,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,8,16,1,0,0,0,13,22,0,4,0,1,1,0,2,1,0,7,11,0,0,0,1,4,4,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,0,1,0,0,0,0,9
9,0,0,24,79,1,0,1,4,64,25,0,5,0,3,8,2,0,0,0,1,7,0,0,0,1,6,2,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,1,0,23,24,0,2,0,0,2,0,2,0,0,6,9,0,0,1,2,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,1,0,0,0,0,0,4
4,1,0,23,100,2,0,2,4,73,59,1,9,1,4,6,1,3,0,0,10,16,1,0,1,0,5,7,0,1,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,12,32,0,0,5,1,18,11,2,2,0,0,3,0,1,1,0,8,12,0,0,1,1,6,10,2,2,0,0,0,0,0,0,0,5,6,0,0,0,0,4,0,4,0,0,0,0,0,4
4,0,0,51,86,3,1,2,7,68,70,8,6,3,3,9,3,0,0,0,7,9,1,0,1,3,5,4,0,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,12,25,0,0,2,1,22,9,0,2,0,0,1,0,4,0,0,8,11,0,0,0,0,2,11,1,2,0,0,0,1,0,0,0,2,2,0,0,0,1,5,0,1,0,0,0,0,0,4
4,1,0,81,57,3,0,6,9,76,102,0,8,2,6,12,1,0,0,0,8,6,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,27,17,0,0,2,1,10,16,0,3,0,0,2,0,0,0,0,14,14,0,0,1,0,9,10,0,1,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,2,1,0,0,0,0,7
7,1,1,68,82,4,0,2,4,85,35,0,7,0,1,20,0,0,0,0,13,21,0,0,0,1,1,3,1,1,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,29,0,0,0,3,19,8,0,2,0,1,1,0,1,0,0,12,8,0,0,0,1,5,6,0,4,0,1,0,0,1,0,0,8,7,0,0,0,1,1,0,1,1,0,0,0,0,7
7,0,0,46,84,2,0,5,2,82,91,1,5,0,2,12,6,1,0,0,13,9,0,0,0,0,2,1,0,5,0,0,1,0,2,0,0,5,5,0,0,0,1,0,2,1,0,0,0,0,0,3,1,0,15,22,1,0,1,2,18,4,0,4,0,0,3,0,2,0,0,5,10,0,0,1,1,6,3,0,1,0,0,1,0,1,0,0,1,2,0,0,0,1,3,0,1,4,1,0,0,0,7
7,0,0,39,107,2,1,3,6,48,106,0,6,1,5,11,2,2,1,1,5,9,0,0,1,0,1,1,2,2,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,19,27,0,0,2,1,14,2,0,5,0,0,1,0,4,0,0,4,17,0,0,0,2,2,2,1,0,0,1,0,0,1,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,10
10,1,0,63,59,3,0,4,4,37,54,0,11,0,0,12,4,0,0,0,5,4,2,0,0,0,1,0,0,3,0,1,0,0,1,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,16,19,0,0,0,2,13,13,5,1,0,1,2,0,0,0,0,12,7,0,0,1,0,6,1,0,1,1,0,0,0,1,0,0,9,3,1,0,0,0,0,0,0,1,0,0,0,0,4
4,2,0,48,66,2,0,2,4,27,30,0,6,1,2,12,1,2,1,0,5,12,0,0,0,1,1,6,1,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,17,23,0,0,0,2,14,12,0,8,1,0,3,0,3,1,0,7,13,0,0,0,1,5,12,0,4,0,1,3,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0,1,0,7
