V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
15,1,0,0,0,1,2,1,6,0,81,0,0,0,0,7,59,1,0,0,0,0,0,2,0,3,0,24,0,0,0,0,11,3,3,0,0,0,0,0,2,0,0,0,10,0,0,0,2,9,1,10,0,0,0,0,0,3,0,4,0,9,0,0,1,0,8,18,8
8,1,0,0,0,0,2,2,5,0,70,0,0,2,0,12,42,2,0,0,0,0,1,1,2,5,0,12,0,0,0,0,3,6,2,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,2,9,1,0,0,0,0,0,0,2,0,8,0,0,0,0,3,9,5
5,1,1,0,0,1,4,0,1,0,74,0,0,0,0,9,59,1,0,0,0,0,0,1,1,3,0,16,0,0,0,1,19,6,2,1,0,0,0,0,0,0,2,0,4,1,0,1,0,11,0,6,2,0,0,0,0,1,1,8,0,7,0,0,0,0,9,7,6
6,3,0,0,0,2,5,0,4,0,73,0,0,1,2,12,28,4,2,0,0,0,1,5,1,3,0,21,0,0,0,0,9,3,4,0,0,0,0,0,3,0,4,0,6,0,0,0,0,10,0,9,0,2,0,0,0,4,0,5,0,9,0,0,0,0,4,14,4
4,3,0,0,0,2,5,1,3,0,74,0,0,0,0,21,49,1,0,0,0,0,0,4,1,5,0,15,0,0,0,1,17,6,2,0,2,0,0,0,1,0,2,0,8,0,0,0,0,5,0,10,1,0,0,0,3,1,1,4,0,15,0,0,1,0,11,20,9
9,3,0,0,0,2,3,1,9,0,75,0,0,0,1,10,31,7,0,0,0,0,0,2,0,4,0,10,0,0,0,1,10,7,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,11,1,11,1,0,0,0,1,2,1,3,0,4,0,0,0,0,4,10,4
4,0,1,0,0,0,2,1,14,1,57,0,0,2,0,12,28,5,0,3,0,0,1,2,0,3,0,7,0,0,1,0,8,8,0,0,2,0,0,0,0,0,3,0,5,0,0,0,2,4,3,9,0,1,0,0,0,0,0,3,0,12,0,0,3,0,6,12,9
9,1,0,46,86,0,1,0,4,1,21,0,0,0,2,12,53,4,1,0,22,57,0,0,0,1,0,7,1,0,0,0,1,9,1,0,0,4,14,0,0,0,3,0,0,1,0,1,1,1,1,8,1,0,23,76,0,0,1,4,0,20,0,0,0,0,6,13,10
10,1,5,73,75,1,2,0,4,0,7,0,0,1,1,11,22,1,1,1,18,73,0,1,1,0,2,4,0,0,1,0,0,3,0,0,0,7,17,0,1,0,1,0,3,0,0,0,0,0,2,19,1,1,40,51,1,2,1,6,1,15,0,0,0,0,4,8,6
6,1,0,2,10,0,3,0,14,3,20,0,0,3,2,8,18,1,0,0,1,3,0,3,0,3,3,7,1,0,0,0,1,11,0,0,0,0,0,0,2,1,2,1,2,0,0,0,0,3,2,9,1,0,2,7,1,4,0,3,2,17,0,0,0,0,5,13,11
11,0,1,2,7,0,3,0,9,0,20,0,0,2,1,8,17,4,0,0,1,13,0,3,0,4,1,7,1,0,1,0,2,7,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,2,3,7,1,0,1,7,0,5,2,8,1,28,0,0,0,0,6,12,6
6,1,2,6,10,0,0,2,7,0,15,1,0,0,0,9,34,4,0,1,7,18,0,1,0,4,0,4,0,0,0,0,2,2,1,0,1,0,2,0,1,0,3,0,3,0,0,0,0,3,1,7,1,1,9,12,0,5,3,3,0,44,0,0,1,0,10,11,5
5,2,0,13,12,2,2,0,7,1,31,0,1,0,1,10,35,3,0,2,14,17,0,1,0,0,0,8,0,0,0,0,12,2,1,0,0,2,6,0,1,0,0,1,4,0,0,0,0,5,0,12,2,3,23,23,0,1,1,9,2,33,0,0,0,1,9,10,10
10,3,3,9,14,0,0,0,6,2,65,0,0,0,0,6,12,3,1,1,21,12,0,1,0,4,0,18,0,0,0,0,11,8,0,0,1,0,8,0,1,0,1,0,5,0,0,0,0,7,2,12,2,5,36,25,0,0,0,7,2,55,0,0,0,1,12,19,5
5,0,4,9,14,0,3,1,12,2,44,0,0,2,0,12,16,4,0,4,18,27,0,1,0,1,0,18,0,0,0,1,7,5,0,0,1,0,7,0,0,0,2,0,3,0,0,0,0,2,0,9,0,8,36,24,0,0,0,6,4,43,0,0,0,0,15,17,12
12,1,5,9,21,0,3,0,10,3,65,0,0,0,2,18,26,1,0,2,35,27,1,1,0,4,0,13,0,0,2,0,14,6,1,1,0,1,2,0,1,0,3,1,6,0,0,1,0,8,2,7,0,8,52,33,0,4,0,3,2,55,0,0,3,1,12,14,7
7,0,6,9,15,0,3,0,5,0,39,0,0,1,0,19,23,5,0,1,42,16,0,4,0,2,0,26,0,0,0,0,15,6,4,0,1,1,0,0,5,0,2,3,6,0,0,0,0,8,1,10,0,10,44,30,1,2,0,9,0,46,0,0,0,0,25,19,12
12,2,5,16,12,1,5,0,5,0,91,0,0,1,1,12,23,0,0,3,29,24,1,1,1,0,0,17,0,0,0,0,17,6,2,0,0,1,4,1,1,0,1,0,4,0,0,0,0,11,0,10,0,8,59,29,0,3,0,2,0,88,0,0,2,0,19,25,10
10,0,5,9,21,0,6,0,8,2,158,0,0,0,0,24,15,2,0,2,14,29,0,2,0,4,0,51,0,0,0,2,13,4,2,0,0,2,6,0,4,0,1,0,5,0,0,0,0,14,1,13,1,3,5,41,0,3,1,3,1,147,0,0,0,0,27,20,6
6,0,3,6,6,0,1,1,5,2,135,0,0,0,0,12,21,1,2,0,8,5,0,5,1,2,1,36,0,0,1,1,21,5,1,0,0,0,3,0,1,0,2,2,6,0,0,0,0,6,1,5,1,0,1,8,1,2,0,6,2,101,0,0,1,1,25,21,9
9,1,1,4,3,0,1,1,9,1,98,0,0,0,0,19,28,3,0,0,8,1,0,1,1,1,1,38,0,0,0,0,11,7,2,0,1,1,2,1,2,0,0,1,12,0,0,0,1,6,1,13,1,2,1,1,0,2,0,4,1,136,0,0,1,1,26,29,7
7,2,2,1,3,0,2,1,8,0,94,0,0,1,0,24,21,4,1,1,6,3,0,3,0,1,0,25,0,1,0,1,15,3,3,0,2,1,1,1,0,0,0,0,14,0,0,0,0,9,2,12,0,1,3,4,0,5,0,3,0,95,0,0,0,0,19,32,14
14,1,2,0,0,1,3,0,11,0,98,0,0,0,1,37,15,3,0,0,4,3,1,4,0,1,0,46,0,0,1,1,16,6,1,0,1,1,1,0,0,0,2,0,19,1,0,0,1,12,3,19,1,0,2,2,0,3,0,6,1,141,0,0,2,0,26,27,7
