V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,hom2004
11,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13,1,3,0,0,0,5,0,1,0,3,0,0,1,0,2,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,5
5,1,3,0,0,0,1,1,2,0,2,0,0,0,0,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,1,5,0,0,0,2,2,2,0,3,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,5,9
9,0,4,0,0,0,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,4,0,0,0,2,0,1,0,1,0,0,0,0,0,8,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,8
8,0,2,0,0,0,10,0,1,0,1,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,10,0,0,0,0,0,3,0,2,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,7,8
8,3,6,0,0,0,7,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,8,0,0,0,1,1,1,0,1,0,0,0,0,3,10,3,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,1,12,6
6,2,1,0,0,0,5,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,10,0,0,0,3,0,3,0,1,0,0,0,0,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5,6
6,1,2,0,0,0,2,0,2,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,5,0,1,0,0,0,0,0,0,3,4,3,1,1,0,0,1,0,0,3,1,3,0,0,0,0,0,2,2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,4,2,9
9,4,0,32,54,0,0,0,3,0,2,0,1,0,0,0,1,2,0,0,4,14,0,0,0,0,0,3,0,0,0,0,0,1,6,0,0,42,101,0,1,0,6,0,3,0,0,0,0,1,11,4,2,0,3,25,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,28,59,1,0,1,4,0,0,2,0,0,1,2,5,8
8,0,1,49,79,0,2,0,0,0,6,0,0,1,0,1,4,0,0,1,6,8,0,0,0,0,0,0,0,0,0,0,2,2,5,3,7,78,59,0,4,0,5,0,9,0,0,0,1,3,11,2,0,0,11,17,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,27,35,0,0,1,1,0,1,1,0,0,0,1,14,5
5,3,0,1,1,0,3,0,1,1,29,0,1,0,0,0,8,3,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,5,12,1,1,3,3,0,5,1,6,2,25,0,0,1,0,2,17,5,1,0,0,2,0,2,0,2,1,10,0,0,0,1,0,4,0,1,1,1,0,0,3,0,1,0,2,0,0,1,0,1,13,3
