V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
36,0,0,11,0,0,1,1,1,0,10,0,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25
25,2,0,18,2,0,0,1,0,0,3,2,2,3,5,11,27,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
25,2,0,29,8,0,0,4,1,0,5,3,3,4,0,17,25,2,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,2,11
11,2,0,26,10,0,0,2,1,0,11,0,2,9,3,29,37,2,0,0,8,1,0,1,1,1,0,1,0,0,0,0,0,4,20
20,2,0,29,11,0,1,3,0,0,6,0,4,3,1,16,24,8,0,0,5,3,0,0,0,0,0,1,0,1,0,0,0,2,32
32,2,0,32,6,0,0,2,0,0,11,0,0,3,2,19,15,3,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,27
27,1,0,25,8,0,2,1,2,0,31,0,0,1,1,9,13,3,1,0,6,1,0,0,0,1,0,1,0,0,0,0,0,1,23
23,2,0,13,3,0,1,3,1,0,37,0,1,1,2,11,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31
31,4,0,9,0,0,0,3,2,0,40,1,0,1,1,9,7,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,33
33,4,0,11,0,0,1,0,0,0,19,0,1,0,2,5,4,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24
24,0,0,13,1,0,1,4,1,0,37,0,0,0,2,4,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
36,0,0,2,0,0,0,0,2,0,24,0,0,1,1,7,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27
27,1,0,2,0,0,1,1,1,0,33,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
28,5,0,4,0,0,0,2,3,0,31,0,0,1,0,5,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,32
32,1,0,1,0,0,1,1,0,0,27,0,0,1,3,3,14,15,2,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,41
41,5,0,1,0,0,0,0,2,0,19,0,0,0,4,8,17,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,39
39,7,0,0,0,0,0,0,0,0,6,0,0,2,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
70,1,0,2,1,0,0,0,0,0,5,0,0,0,3,6,2,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,51
51,3,0,2,0,0,1,0,0,0,19,1,0,3,0,2,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
50,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37
