V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,hom2004
0,3,0,212,51,1,5,1,18,0,134,0,2,2,4,16,0,2,1,0,23,2,0,1,0,1,0,9,0,0,0,0,0,0,0,4,0,93,41,0,3,1,5,0,16,0,0,0,0,9,0,2
2,1,0,237,47,6,4,5,26,0,209,4,8,4,0,47,15,3,0,0,19,2,0,0,0,5,0,8,2,1,0,0,0,3,2,2,0,90,30,0,2,1,3,0,17,3,1,2,6,10,18,1
1,2,0,272,55,2,5,13,10,0,185,1,13,10,1,39,17,5,0,0,38,6,1,0,0,2,0,12,1,1,0,0,0,5,0,0,0,94,38,0,4,3,5,0,22,2,1,10,4,6,15,4
4,3,0,295,49,0,11,11,14,0,178,2,5,9,5,28,30,3,0,0,18,6,0,1,2,1,0,31,1,0,0,0,0,5,4,1,0,77,29,0,2,3,8,0,36,6,1,3,1,7,21,1
1,1,0,318,61,0,13,8,13,0,166,6,6,5,5,9,22,3,1,0,34,5,0,0,3,6,0,13,1,1,1,0,0,1,1,0,0,63,11,0,0,3,5,0,19,7,2,1,0,1,17,4
4,3,0,331,69,2,15,7,10,0,59,5,13,7,3,17,38,5,0,0,26,2,1,1,1,1,0,5,0,0,0,0,0,3,0,0,0,70,24,2,3,6,7,0,12,4,2,4,2,2,11,3
3,1,1,320,48,3,14,4,22,0,149,6,13,7,2,25,52,4,1,0,37,1,3,0,0,1,0,10,1,2,1,0,0,6,2,2,0,74,16,0,3,3,1,0,15,0,1,4,1,3,14,7
7,5,0,305,40,1,11,11,14,0,147,3,14,6,5,13,20,3,0,0,33,6,0,1,1,2,0,6,1,1,1,0,0,2,3,1,0,68,17,1,3,6,4,0,6,2,5,3,1,10,16,4
4,1,0,294,51,3,9,3,20,0,166,1,15,6,5,33,24,1,0,0,24,10,0,1,0,0,0,10,2,2,2,0,0,5,3,1,0,98,14,1,2,6,11,0,25,0,1,6,2,3,21,7
7,7,0,301,52,2,9,1,10,0,205,2,16,5,4,18,21,5,0,0,27,1,1,1,0,1,0,10,1,1,0,0,0,6,7,0,0,80,26,2,4,2,3,0,13,4,5,6,0,5,14,2
2,3,0,269,55,1,4,7,11,2,181,1,11,8,3,19,27,2,0,0,27,3,0,0,2,1,0,16,0,1,0,2,1,15,3,0,0,77,11,3,4,5,6,0,22,2,8,6,5,9,16,5
5,3,0,214,42,0,6,9,24,0,215,7,10,8,6,27,21,6,0,0,22,7,1,0,2,1,0,13,0,1,0,0,2,11,6,1,2,66,17,0,3,5,9,1,26,6,5,7,4,3,9,6
6,1,1,193,53,0,11,7,25,1,266,3,13,9,7,13,25,5,1,0,24,3,0,1,0,3,0,17,0,0,0,0,2,6,4,1,0,59,14,0,0,0,4,1,40,3,4,6,1,4,10,7
7,1,0,230,45,4,11,4,25,1,294,4,9,7,5,12,15,1,0,0,29,5,0,1,0,2,0,28,0,1,0,1,2,9,6,2,0,54,13,2,2,3,5,0,66,9,4,4,3,4,11,6
6,3,0,235,28,2,9,11,18,0,301,1,13,9,2,16,23,2,0,0,35,2,0,1,1,0,0,9,0,3,0,0,1,8,7,0,0,60,13,1,2,1,2,0,37,5,2,2,4,5,8,5
5,4,0,308,54,6,16,3,16,1,332,3,16,13,3,21,33,4,0,0,33,3,0,1,0,0,0,5,1,1,1,0,0,3,16,0,0,79,11,0,0,0,8,3,14,4,3,4,3,6,13,4
4,0,0,300,51,1,14,5,14,3,219,3,16,10,3,9,17,3,0,0,19,4,0,0,1,0,0,6,1,1,0,1,0,1,12,0,1,89,21,0,0,1,8,1,16,8,1,5,3,9,11,2
2,5,1,309,55,1,11,5,15,2,217,2,17,10,3,11,23,2,0,0,21,0,1,1,2,2,0,9,1,2,1,0,1,10,7,1,2,75,16,3,4,3,4,0,20,6,2,6,3,0,13,9
9,2,0,315,42,2,15,10,17,3,142,2,17,9,4,14,25,3,1,0,22,7,0,2,1,2,0,10,2,1,1,2,0,4,11,2,1,79,16,1,3,2,5,1,24,2,2,5,1,0,12,6
6,2,1,298,53,0,7,4,19,1,144,6,17,4,5,15,24,4,0,0,29,5,1,0,0,1,0,4,1,2,0,1,1,4,7,0,0,80,22,1,4,5,0,0,22,3,3,14,5,12,16,9
9,0,0,285,59,3,6,5,14,1,98,6,23,3,2,9,22,5,0,0,36,6,0,1,1,6,0,12,0,3,2,1,1,11,11,1,0,95,15,1,5,1,4,0,13,2,9,4,1,10,14,5
5,1,0,291,48,3,6,12,15,1,161,5,15,6,4,15,29,7,2,0,22,6,1,0,1,2,0,10,1,1,0,0,0,12,7,2,1,86,23,3,3,5,21,1,0,3,4,2,4,9,16,4
4,4,0,223,58,2,4,6,13,0,148,8,15,3,3,27,27,6,0,0,21,1,1,0,3,0,0,3,1,1,1,0,0,16,7,2,1,38,13,1,4,2,1,1,16,3,3,7,4,6,8,5
