V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
4,4,0,0,0,0,0,1,0,32,14,0,8,0,0,36,7,3,0,0,0,0,0,0,0,3,44,20,0,5,2,0,62,8,3,0,0,0,0,0,0,0,2,8,1,0,1,1,0,8,2,4,0,1,0,0,0,0,0,3,31,20,0,11,0,0,37,8,5
5,0,0,0,0,0,0,0,1,42,12,0,7,1,0,66,9,2,0,0,0,0,0,0,0,2,56,17,0,2,3,0,111,7,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10,0,5,0,0,0,0,0,0,0,5,27,23,0,5,0,0,53,7,4
4,1,0,0,0,0,0,0,2,38,13,0,6,0,0,49,6,1,0,0,0,0,0,0,0,1,50,13,0,2,0,0,109,15,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,3,2,10,0,0,0,0,0,0,0,2,23,12,0,6,1,1,41,3,2
2,4,0,0,0,0,0,0,5,31,7,0,4,0,0,51,3,3,1,0,0,0,0,1,0,3,53,13,0,9,1,1,93,7,1,1,0,0,0,0,0,0,0,3,2,0,2,0,1,8,3,9,0,0,0,0,0,0,0,2,27,13,0,6,0,0,53,8,2
2,0,0,0,0,0,0,0,5,45,11,0,0,1,0,54,8,4,0,0,0,0,0,3,0,3,64,20,0,0,1,1,72,12,2,0,1,0,0,0,0,0,1,2,2,0,0,0,0,9,1,5,0,0,0,0,0,1,1,2,25,18,0,0,0,1,64,13,6
6,1,0,0,0,0,0,1,6,31,9,0,0,0,1,55,12,2,1,0,0,0,0,0,0,2,57,7,0,0,1,0,78,16,0,0,0,0,0,0,1,0,1,5,4,0,0,0,0,6,4,7,2,0,0,0,0,0,0,2,19,38,0,0,0,1,62,10,2
2,0,0,0,0,0,0,0,7,46,7,0,0,4,0,56,20,5,0,0,0,0,0,0,0,2,53,19,0,1,0,0,82,18,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,8,3,7,1,0,0,0,0,0,0,1,36,17,0,0,1,1,66,16,5
5,6,0,0,0,0,0,0,8,46,5,0,0,1,0,66,7,1,0,0,0,0,0,1,0,2,56,13,0,0,1,1,94,20,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,5,8,4,4,0,0,0,0,0,0,2,34,18,0,0,1,1,45,43,6
6,2,0,0,0,0,1,1,3,61,11,0,0,0,0,88,18,5,0,1,0,0,0,0,0,3,59,14,0,0,2,3,103,16,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,7,4,3,2,0,0,0,0,1,1,4,33,15,0,0,1,0,48,26,5
5,2,0,0,0,0,1,0,4,76,13,0,0,0,0,69,12,1,0,1,0,0,0,0,0,2,61,10,0,0,2,0,91,10,3,0,0,0,0,0,0,0,1,2,1,0,0,0,0,11,3,6,2,0,0,0,0,0,1,5,35,16,0,0,0,0,60,36,7
7,3,0,0,0,0,0,0,9,55,24,0,0,1,0,73,9,4,1,0,0,0,0,0,0,2,60,16,0,0,0,0,101,17,1,1,0,0,0,0,1,0,3,9,9,0,0,0,0,5,8,6,4,0,0,0,0,1,0,3,35,22,0,0,1,0,62,11,3
3,1,0,0,0,0,0,0,6,45,34,0,0,0,2,74,15,5,0,0,0,0,0,2,0,3,54,22,0,0,1,1,77,23,2,1,0,0,0,0,1,0,0,4,8,0,0,0,1,12,14,4,1,0,0,0,0,2,1,7,45,25,0,0,1,0,54,24,3
3,1,0,0,0,0,1,0,4,40,26,0,0,2,0,62,20,4,0,0,0,0,0,0,0,3,65,12,0,0,2,0,74,17,0,0,0,0,0,0,0,1,1,8,6,0,1,0,0,4,7,5,2,0,0,0,0,0,0,1,45,23,0,0,1,0,67,37,5
5,3,0,0,0,0,2,0,2,40,26,0,0,1,1,63,11,2,1,1,0,0,0,0,2,0,47,16,0,0,0,1,76,27,0,1,0,0,0,0,1,0,3,7,5,0,0,0,0,9,32,7,1,0,0,0,0,0,1,6,40,26,0,0,0,2,65,54,4
4,1,0,0,0,0,1,0,1,36,10,0,0,2,0,48,12,2,0,0,0,0,0,1,0,1,54,19,0,0,0,0,75,32,1,0,0,0,0,0,0,0,4,3,4,0,0,0,0,5,1,3,0,0,0,0,0,1,0,3,52,33,0,0,1,3,66,14,8
8,1,0,0,0,0,0,0,5,39,22,0,0,2,1,49,22,5,0,0,0,0,0,2,0,3,57,32,0,0,0,2,89,13,1,1,0,0,0,0,0,1,2,5,6,0,0,2,1,12,1,7,2,0,0,0,0,1,0,3,44,52,0,0,0,1,64,12,4
4,1,0,0,0,0,1,0,3,42,36,0,0,2,1,45,19,3,1,0,0,0,0,1,0,2,62,26,0,1,2,1,64,16,1,0,0,0,0,0,0,0,5,7,10,0,0,0,0,7,22,12,3,0,0,0,0,1,1,8,36,89,0,0,1,2,57,36,7
7,0,0,0,0,0,1,0,7,43,12,0,0,1,2,38,19,5,1,0,0,0,0,1,0,3,57,24,0,0,1,1,52,24,3,1,0,0,0,0,0,0,0,6,4,0,0,2,0,11,6,7,1,0,0,0,0,2,0,6,43,56,0,0,2,1,38,25,10
10,3,0,0,0,0,1,0,1,32,15,0,0,3,0,48,14,5,0,0,0,0,0,1,0,5,55,20,0,0,2,0,72,24,0,0,0,0,0,0,2,1,2,5,5,0,0,0,0,8,8,11,1,0,0,0,0,3,0,5,40,53,0,0,2,0,52,14,4
4,1,0,0,0,0,1,0,9,37,5,0,0,1,1,46,15,6,1,0,0,0,0,0,1,3,41,20,0,0,1,0,51,13,1,1,0,0,0,0,0,0,3,6,6,0,0,2,0,10,8,5,0,0,0,0,0,4,0,5,51,36,0,0,0,0,60,23,9
9,0,0,0,0,0,2,1,4,40,9,0,0,2,1,47,24,5,1,0,0,0,0,3,0,7,59,15,0,0,2,2,67,19,1,1,0,0,0,0,1,0,4,6,4,0,0,1,0,5,7,8,2,0,0,0,0,2,0,5,31,29,0,0,0,0,50,23,12
12,4,0,0,0,0,1,0,9,54,20,0,0,4,0,43,18,3,0,0,0,0,0,1,0,3,73,15,0,0,0,2,42,27,1,1,0,0,0,0,0,0,1,10,7,0,0,1,1,5,10,10,2,0,0,0,0,2,0,7,37,53,0,0,3,1,52,26,6
6,0,0,0,0,0,0,0,5,33,23,0,0,4,0,41,22,3,0,0,0,0,0,1,0,4,65,17,0,0,1,0,50,22,2,0,0,0,0,0,0,0,2,12,7,0,0,0,0,8,14,7,1,0,0,0,0,1,0,12,52,50,0,0,0,1,53,21,5
5,1,0,0,0,0,2,0,4,25,15,0,0,2,0,26,19,1,0,0,0,0,0,3,1,2,60,21,0,0,0,0,73,15,2,0,0,0,0,0,0,0,2,7,2,0,0,1,1,2,5,7,3,0,0,0,0,8,1,15,38,61,0,0,1,0,51,29,4
4,1,0,0,0,0,2,0,5,28,29,0,0,5,1,30,15,1,0,0,0,0,0,2,0,5,40,18,0,0,3,0,53,18,0,0,0,0,0,0,1,0,3,3,10,0,0,0,0,9,5,4,1,0,0,0,0,2,1,8,32,39,0,0,3,0,51,22,7
7,1,0,0,0,0,1,0,5,29,13,0,0,4,2,31,18,4,0,0,0,0,0,4,0,5,66,14,0,0,2,2,59,16,2,1,0,0,0,0,0,0,5,8,5,0,0,1,0,5,8,7,1,0,0,0,0,2,0,8,43,39,0,0,3,1,58,26,7
7,2,0,0,0,0,2,1,6,23,12,0,0,0,0,30,14,3,0,0,0,0,0,3,0,2,43,18,0,0,2,0,55,18,3,0,0,0,0,0,0,0,2,12,3,0,0,0,1,16,2,6,0,0,0,0,0,6,0,6,41,42,0,0,1,1,36,27,2
2,3,0,0,0,0,2,0,7,26,10,0,0,0,1,37,14,6,0,0,0,0,0,1,0,4,39,12,0,1,1,1,63,20,0,0,0,0,0,0,0,0,3,8,12,0,0,0,0,1,3,8,2,0,0,0,0,0,0,11,25,38,0,0,1,2,44,27,4
4,1,0,0,0,0,4,0,10,39,18,0,0,0,1,44,7,4,1,0,0,0,0,3,0,1,54,8,0,0,1,1,51,24,3,0,0,0,0,0,0,0,1,6,8,0,0,1,0,5,3,7,0,0,0,0,0,3,0,3,41,51,0,0,0,0,41,13,11
11,1,0,0,0,0,2,1,3,40,14,0,0,1,0,30,23,1,0,0,0,0,0,4,4,4,54,10,0,0,1,0,49,22,1,0,0,0,0,0,2,2,3,5,7,0,0,1,1,7,4,2,0,0,0,0,0,5,3,3,38,47,0,0,5,1,36,23,8
8,0,0,0,0,0,4,4,6,35,14,0,0,4,0,30,19,1,2,0,0,0,0,3,5,3,51,11,0,0,2,0,34,20,0,0,0,0,0,0,0,0,0,12,3,0,1,2,1,3,5,3,1,0,0,0,0,4,6,6,26,55,0,0,2,2,28,18,7
7,0,0,0,0,0,0,0,1,16,22,0,0,1,0,16,11,2,0,0,0,0,0,3,3,1,26,17,0,0,0,2,12,12,0,1,0,0,0,0,1,0,1,5,4,0,0,1,0,0,3,5,0,1,0,0,0,4,2,7,26,47,0,0,1,0,9,23,6
6,5,0,0,0,0,2,1,3,24,9,0,0,1,0,15,14,3,0,0,0,0,0,0,3,1,35,13,0,0,1,1,14,4,0,0,0,0,0,0,1,2,0,3,7,0,0,1,0,0,1,4,0,1,0,0,0,3,1,3,21,31,0,0,1,0,11,15,3
