V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
8,5,0,0,0,0,0,0,6,20,48,0,18,4,1,34,46,1,0,0,0,0,0,0,0,3,3,9,0,1,1,1,7,5,7
7,1,0,0,0,0,0,0,2,24,34,0,24,2,1,31,54,0,0,0,0,0,0,0,1,3,4,11,0,5,0,0,3,6,6
6,5,0,0,0,0,0,0,11,34,36,0,8,0,2,17,45,2,0,0,0,0,0,0,1,2,6,5,0,2,0,0,4,3,5
5,7,0,0,0,0,0,0,6,44,55,0,18,3,1,23,37,2,1,0,0,0,0,0,0,5,6,6,0,1,0,0,8,2,9
9,3,0,0,0,0,2,0,8,27,41,0,13,1,6,36,47,0,0,0,0,0,0,0,0,5,7,12,0,6,0,1,6,8,6
6,2,1,0,0,0,0,0,11,32,39,0,23,2,4,27,48,1,0,0,0,0,0,0,0,3,5,8,0,5,0,0,5,7,8
8,5,0,0,0,0,0,0,12,18,42,0,10,1,1,16,30,0,0,0,0,0,0,0,0,1,3,11,0,3,0,1,8,7,12
12,5,1,0,0,0,2,0,6,16,27,0,11,5,2,32,26,1,0,0,0,0,0,0,0,1,5,8,0,4,2,1,4,5,6
6,1,0,0,0,0,3,0,3,17,19,0,18,5,4,29,52,1,2,0,0,0,0,2,1,0,11,10,0,4,0,3,6,6,13
13,4,0,0,0,0,1,0,6,40,40,0,11,2,0,32,52,5,0,0,0,0,0,2,0,2,7,9,0,6,3,0,6,10,17
17,5,0,0,0,0,1,0,4,30,48,0,17,5,0,32,44,2,1,0,0,0,0,0,0,2,11,7,0,4,1,0,7,6,16
16,3,1,0,0,0,0,1,9,33,45,0,13,0,3,33,39,3,1,0,0,0,0,0,0,3,5,5,0,3,1,1,4,9,20
20,4,1,0,0,0,0,0,6,29,42,0,21,2,2,36,31,1,0,2,0,0,0,1,0,3,9,3,0,4,0,0,6,7,17
17,3,2,0,0,0,1,0,10,30,65,0,19,0,3,33,36,3,2,0,0,0,0,0,0,1,4,15,0,6,0,0,3,1,7
7,1,1,0,0,0,0,0,3,36,35,0,14,2,2,37,77,3,1,1,0,0,0,0,0,2,12,6,0,4,1,0,6,8,13
13,1,0,0,0,0,0,0,4,44,39,0,13,0,2,32,92,0,3,0,0,0,0,0,0,3,7,6,0,1,0,1,8,4,9
9,3,3,0,0,0,2,0,4,23,24,0,20,1,1,38,60,1,1,0,0,0,0,0,0,1,2,7,0,0,0,0,5,8,17
17,5,1,0,0,0,2,1,2,36,58,0,21,4,0,25,71,2,2,2,0,0,0,0,0,4,13,14,0,2,1,0,11,5,13
13,6,2,0,0,0,0,0,6,37,45,0,10,1,4,41,71,1,1,3,0,0,0,0,0,3,6,11,0,9,0,1,10,7,18
18,1,1,0,0,0,2,1,8,26,55,0,18,2,0,49,49,0,0,1,0,0,0,1,0,3,3,14,0,8,2,0,4,6,17
17,6,3,0,0,0,1,0,5,41,36,0,14,0,1,40,50,1,0,0,0,0,0,1,0,2,8,9,0,4,2,0,6,4,17
17,1,1,0,0,0,1,1,8,37,38,0,14,5,0,53,50,0,0,0,0,0,0,0,0,1,3,23,0,5,0,1,7,0,19
19,2,3,0,0,0,0,0,6,34,41,0,10,2,3,56,51,1,0,0,0,0,0,0,0,2,3,15,0,2,0,0,7,7,8
8,1,2,0,0,0,1,0,6,35,40,0,13,2,2,79,53,3,0,0,0,0,0,0,1,4,2,14,0,4,0,0,9,4,17
17,0,0,0,0,0,0,0,7,47,42,0,16,1,1,83,47,0,0,0,0,0,0,0,0,4,12,14,0,1,0,0,4,4,10
10,2,0,0,0,0,2,0,3,65,57,0,0,1,2,66,78,2,0,0,0,0,0,1,1,4,8,16,0,0,0,0,9,4,18
18,2,4,0,0,0,1,0,3,51,46,0,0,4,3,75,117,4,0,1,0,0,0,0,0,4,6,9,0,0,2,0,5,4,15
15,6,1,0,0,0,0,0,8,50,43,0,0,3,2,80,102,1,0,0,0,0,0,1,0,4,10,16,0,0,0,0,9,13,27
27,2,0,0,0,0,2,0,4,72,42,0,0,3,1,70,104,4,1,0,0,0,0,1,0,2,10,16,0,0,2,0,4,22,18
18,4,1,0,0,0,0,0,2,50,59,0,0,2,1,81,111,1,2,0,0,0,0,1,0,2,7,9,0,0,0,1,7,15,27
27,4,1,0,0,0,4,0,6,64,57,0,0,1,1,86,128,2,3,0,0,0,0,0,0,1,6,14,0,0,3,0,3,27,21
21,3,0,0,0,0,3,1,3,53,59,0,0,2,2,77,117,0,3,0,0,0,0,1,0,1,12,6,0,0,1,1,4,5,16
16,2,0,0,0,0,2,1,8,44,76,0,0,5,5,66,92,3,0,0,0,0,0,1,1,0,9,21,0,0,0,0,13,9,17
17,3,0,0,0,0,2,1,12,59,79,0,0,4,2,60,83,5,3,0,0,0,0,1,0,0,8,18,0,0,0,0,6,8,19
19,3,1,0,0,0,1,0,6,57,92,0,0,2,3,74,96,4,1,0,0,0,0,0,0,5,14,17,0,0,1,0,9,20,19
