V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
2,1,0,99,56,0,1,2,0,0,0,0,0,0,0,0,0,2
2,0,0,102,41,1,0,4,0,1,0,0,0,0,5,3,0,3
3,1,0,118,46,1,0,4,0,0,0,0,0,0,1,5,2,7
7,0,0,132,53,0,1,6,0,0,0,0,0,0,0,6,0,2
2,4,0,144,66,1,0,15,0,0,0,0,0,0,0,4,1,1
1,1,0,129,62,1,0,10,0,0,0,4,1,0,2,9,1,1
1,1,0,142,48,5,0,9,0,4,0,3,0,1,5,5,0,2
2,1,0,106,46,2,0,12,0,0,0,4,0,0,0,5,0,0
0,0,0,118,31,4,1,0,0,2,0,5,0,0,3,4,0,3
3,1,0,121,39,3,0,15,0,0,0,11,0,0,3,3,0,6
6,2,0,0,0,6,0,16,0,0,0,4,0,5,1,12,0,7
7,3,0,0,0,0,0,13,0,1,0,3,0,1,2,4,0,7
7,2,0,0,0,6,0,12,0,1,0,3,0,0,1,2,2,10
10,1,0,0,0,8,0,19,0,0,0,7,0,0,3,5,1,8
8,1,0,0,0,5,0,16,0,1,0,5,0,2,3,8,1,4
4,2,0,0,0,1,0,11,0,0,0,8,0,1,0,7,0,6
6,2,0,0,0,6,0,13,0,1,0,8,1,0,0,3,0,8
8,2,0,0,0,5,0,12,0,0,0,6,2,3,0,5,6,9
9,2,0,0,0,4,0,19,0,0,0,3,3,1,4,6,9,4
4,1,0,0,0,3,0,19,0,0,0,4,1,1,2,20,11,11
11,3,0,0,0,7,0,5,0,0,0,9,6,0,2,9,5,6
6,2,0,0,0,8,0,15,0,1,0,5,3,2,0,14,10,5
5,3,0,0,0,8,0,11,0,0,0,1,0,0,5,10,4,5
5,2,0,0,0,6,0,9,0,0,0,5,1,0,4,15,9,3
3,2,0,0,0,10,0,10,0,2,0,3,0,3,1,7,6,5
5,2,0,17,0,5,0,15,15,0,227,13,1,1,0,17,6,10
10,5,0,34,0,7,0,17,19,0,192,13,0,4,0,7,10,0
0,2,0,44,0,7,0,10,16,0,218,9,2,3,5,4,7,11
11,2,0,36,0,6,0,16,39,0,186,8,0,2,3,4,11,7
7,3,0,33,0,4,0,17,17,0,241,10,1,3,2,12,6,11
11,2,0,30,0,7,0,19,16,0,180,6,1,5,2,11,5,13
13,5,0,42,0,8,0,20,13,1,168,21,1,2,0,5,7,10
10,4,0,33,0,4,0,11,7,0,152,16,2,2,1,11,5,3
3,3,0,35,0,5,0,13,11,0,127,11,1,1,2,6,3,7
7,4,0,37,0,8,0,16,14,1,137,22,0,0,4,26,6,8
8,0,0,26,0,5,0,12,13,0,135,23,0,1,0,12,3,7
7,0,0,19,0,6,0,9,13,0,115,10,2,0,1,5,6,8
8,2,0,123,0,2,0,16,11,1,193,15,0,2,4,12,6,13
13,2,0,121,0,14,0,14,12,0,122,16,2,2,1,10,6,17
17,4,0,133,0,9,0,20,10,0,145,6,1,1,1,23,6,20
20,4,0,146,0,17,0,17,11,0,134,8,0,2,1,33,4,20
20,3,0,144,0,8,0,21,18,0,125,8,2,5,1,11,6,8
8,1,0,150,0,9,0,35,19,0,99,6,1,3,1,25,4,14
14,4,0,124,0,10,0,11,12,1,87,8,1,0,0,22,11,8
8,3,0,127,0,18,0,21,8,0,67,17,3,4,2,21,5,12
12,1,0,134,0,19,0,23,15,0,52,7,0,2,3,18,9,17
17,5,0,110,0,10,0,30,11,0,85,7,4,5,3,18,7,14
14,1,0,101,0,9,0,12,10,1,97,7,1,2,1,15,4,8
8,4,0,97,0,6,0,22,10,0,130,7,2,1,4,7,6,13
13,0,0,89,0,9,0,25,16,0,82,5,2,3,1,15,6,9
9,3,0,116,0,13,0,14,15,0,91,6,3,1,3,16,5,15
15,1,0,120,0,22,0,28,13,0,50,5,2,0,0,8,9,9
9,0,0,48,0,1,0,9,5,0,38,11,0,0,1,1,2,6
6,4,0,35,0,5,0,11,4,0,37,10,0,1,0,2,5,5
