V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,hom2004
3,1,0,0,0,0,2,0,4,65,24,0,11,2,45,116,125,0,0,0,0,0,0,0,0,2,30,11,0,4,0,0,10,11,6,3,0,0,0,0,0,0,3,36,29,0,12,2,2,36,26,5,0,0,0,0,0,0,0,1,23,11,0,2,1,0,14,10,0,0,0,0,0,0,0,0,3,85,19,0,2,0,1,99,10,6,0,1,0,0,0,0,0,2,25,21,0,1,0,1,48,9,5,1,0,0,0,0,1,0,5,23,12,0,7,0,1,14,20,10
10,1,0,0,0,0,0,0,0,57,18,0,7,1,27,109,49,0,0,0,0,0,0,0,0,3,37,9,0,1,0,2,23,6,7,1,2,0,0,0,1,0,3,40,20,0,9,1,1,30,16,3,2,0,0,0,0,0,0,0,24,15,0,6,1,1,11,5,4,1,1,0,0,0,1,0,2,73,9,0,1,0,0,101,6,7,1,0,0,0,0,0,0,1,31,19,0,5,0,1,72,10,7,1,3,0,0,0,0,0,2,27,11,0,2,0,1,21,16,7
7,2,1,0,0,0,2,0,0,71,21,0,7,2,28,111,76,2,1,0,0,0,0,0,0,3,47,20,0,5,0,0,16,9,12,3,1,0,0,0,0,0,2,56,33,0,10,2,1,39,26,3,0,0,0,0,0,0,0,1,28,11,0,4,0,0,16,5,1,0,2,0,0,0,0,0,2,122,14,0,1,1,0,93,11,2,0,0,0,0,0,0,0,1,37,13,0,2,0,2,53,7,8,1,4,0,0,0,0,0,3,35,15,0,2,1,0,24,14,8
8,0,3,0,0,0,3,0,0,75,18,0,8,4,22,108,45,0,0,0,0,0,0,1,0,3,35,14,0,4,0,2,14,13,5,0,0,0,0,0,0,0,7,54,19,0,5,0,0,46,17,3,2,0,0,0,0,0,0,1,22,7,0,3,0,0,7,7,2,0,1,0,0,0,0,0,2,112,12,0,3,1,2,64,7,2,0,1,0,0,0,0,1,1,32,9,0,0,2,2,45,12,2,1,5,0,0,0,1,0,2,29,8,0,3,0,0,15,16,5
5,2,2,0,0,0,0,0,4,85,16,0,5,2,21,104,77,1,1,0,0,0,0,2,0,5,51,11,0,1,0,0,23,12,14,3,1,0,0,0,0,0,7,62,22,0,11,2,0,37,14,0,0,1,0,0,0,0,0,0,26,7,0,3,0,0,13,12,3,0,3,0,0,0,1,0,4,133,7,0,2,0,0,87,9,0,0,0,0,0,0,1,0,1,32,17,0,2,0,0,57,20,4,2,3,0,0,0,0,0,3,28,4,0,2,0,0,19,19,5
5,3,1,0,0,0,1,0,1,83,13,0,6,2,37,103,56,1,0,0,0,0,0,0,1,2,40,5,0,4,0,3,16,17,17,1,0,0,0,0,0,0,2,47,13,0,7,2,0,19,22,0,0,0,0,0,0,0,0,0,14,10,0,7,0,0,11,7,1,0,0,0,0,0,0,0,0,125,9,0,5,1,0,83,6,2,0,0,0,0,0,0,0,1,28,11,0,0,1,0,40,15,5,0,5,0,0,0,0,0,1,18,5,0,3,1,0,19,12,8
8,1,7,0,0,0,0,0,1,71,30,0,7,0,23,98,56,3,2,1,0,0,0,1,0,1,45,8,0,3,0,1,30,8,14,1,1,0,0,0,0,0,4,61,25,0,10,1,1,31,20,1,1,0,0,0,0,0,0,1,22,8,0,1,1,0,15,6,1,0,0,0,0,0,2,0,1,149,15,0,10,1,0,124,10,5,0,0,0,0,0,0,0,2,24,11,0,4,0,0,59,12,6,0,7,0,0,0,1,0,2,29,14,0,4,0,0,22,16,10
10,0,4,0,0,0,1,0,3,84,42,0,9,2,26,146,48,1,0,0,0,0,0,0,0,1,30,16,0,4,0,0,26,10,13,0,0,0,0,0,0,0,4,62,36,0,7,4,1,32,20,0,0,1,0,0,0,0,0,1,14,25,0,4,1,0,9,6,1,0,1,0,0,0,0,0,2,114,15,0,3,0,0,90,5,4,1,1,0,0,0,0,0,1,23,23,0,4,0,1,71,17,4,2,2,0,0,0,1,0,1,18,10,0,4,1,0,18,19,4
4,3,4,0,0,0,1,0,6,105,27,0,4,1,29,112,51,2,0,0,0,0,0,0,0,3,25,8,0,4,1,1,27,7,8,1,3,0,0,0,0,0,1,74,20,0,12,1,0,43,13,2,1,0,0,0,0,0,0,1,28,9,0,2,0,0,10,13,0,1,1,0,0,0,0,0,2,137,20,0,1,0,0,126,9,6,0,0,0,0,0,0,0,3,33,18,0,4,0,2,64,12,5,1,3,0,0,0,1,0,1,24,4,0,1,0,0,32,24,8
8,1,1,0,0,0,0,0,1,111,29,0,8,0,35,143,47,0,0,0,0,0,0,0,0,1,30,12,0,5,1,0,40,9,13,1,3,0,0,0,1,0,7,73,17,0,15,0,2,46,15,4,0,0,0,0,0,0,0,3,33,9,0,3,0,0,12,11,0,0,4,0,0,0,0,0,0,172,19,0,3,1,0,111,9,4,0,0,0,0,0,1,0,3,45,30,0,6,2,0,45,6,6,1,5,0,0,0,0,0,0,21,10,0,4,1,0,25,18,7
