V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,hom2004
7,1,2,75,16,3,4,3,4,0,20,6,2,6,3,0,13,2,5,1,309,55,1,11,5,15,2,217,2,17,10,3,11,23,2,0,0,21,0,1,1,2,2,0,9,1,2,1,0,1,10,119,14,2,412,80,4,24,6,23,9,281,1,7,13,2,13,40,3,0,0,18,4,1,0,0,1,0,6,0,0,0,0,1,1,11
11,2,1,79,16,1,3,2,5,1,24,2,2,5,1,0,12,9,2,0,315,42,2,15,10,17,3,142,2,17,9,4,14,25,3,1,0,22,7,0,2,1,2,0,10,2,1,1,2,0,4,98,9,0,421,85,3,19,17,18,5,193,1,7,11,4,18,43,8,0,0,18,0,1,0,1,2,1,5,0,0,0,0,0,2,7
7,0,0,80,22,1,4,5,0,0,22,3,3,14,5,12,16,6,2,1,298,53,0,7,4,19,1,144,6,17,4,5,15,24,4,0,0,29,5,1,0,0,1,0,4,1,2,0,1,1,4,96,13,5,445,100,6,12,19,23,4,216,0,13,13,0,11,31,7,1,0,22,4,0,0,0,5,0,3,0,0,0,0,0,4,11
11,1,0,95,15,1,5,1,4,0,13,2,9,4,1,10,14,9,0,0,285,59,3,6,5,14,1,98,6,23,3,2,9,22,5,0,0,36,6,0,1,1,6,0,12,0,3,2,1,1,11,120,8,0,462,94,2,13,11,15,7,300,1,17,7,4,14,33,2,4,0,9,3,0,0,0,0,0,3,0,1,0,0,0,2,7
7,2,1,86,23,3,3,5,21,1,0,3,4,2,4,9,16,5,1,0,291,48,3,6,12,15,1,161,5,15,6,4,15,29,7,2,0,22,6,1,0,1,2,0,10,1,1,0,0,0,12,130,13,2,453,98,1,15,13,6,7,247,0,10,10,1,6,43,6,1,0,18,4,1,0,2,1,0,14,0,0,0,0,0,3,7
7,2,1,38,13,1,4,2,1,1,16,3,3,7,4,6,8,4,4,0,223,58,2,4,6,13,0,148,8,15,3,3,27,27,6,0,0,21,1,1,0,3,0,0,3,1,1,1,0,0,16,119,11,0,273,70,9,15,16,17,3,252,0,14,9,5,12,57,5,1,0,12,5,1,0,0,2,0,11,0,1,1,1,0,3,7
7,0,4,52,14,1,0,0,0,0,9,6,2,6,4,2,7,5,4,0,201,40,2,7,7,11,2,171,6,4,2,1,10,28,8,1,2,16,2,0,0,2,1,0,13,0,2,0,1,0,14,101,9,0,238,87,7,14,12,13,3,306,0,13,7,3,19,75,9,0,1,9,6,1,0,0,3,1,8,0,1,0,0,0,2,10
10,2,2,45,15,0,3,2,6,0,9,6,4,0,2,5,12,9,2,6,164,40,2,6,2,13,3,180,2,14,3,8,23,15,3,0,0,10,2,0,1,1,2,0,8,0,2,1,0,1,4,103,6,0,219,92,5,8,13,8,1,274,0,13,4,4,10,41,4,0,1,7,0,0,0,0,2,0,7,1,1,0,1,1,3,15
15,0,3,39,3,0,3,0,6,0,16,3,4,3,3,0,5,6,6,1,180,39,1,7,6,15,2,207,4,11,2,2,11,19,5,0,0,14,3,1,0,0,2,0,8,0,2,0,0,0,5,121,10,0,199,82,2,12,7,12,4,286,0,6,2,1,6,53,4,0,0,12,4,0,0,1,2,0,6,0,0,0,0,0,1,13
13,1,0,34,5,0,0,1,4,0,15,2,2,2,3,4,12,5,2,1,154,49,2,10,3,10,0,148,3,7,5,2,11,13,3,0,0,11,1,0,4,0,4,0,6,2,0,0,0,0,5,112,8,0,184,63,0,13,8,19,7,149,0,12,12,3,7,41,5,0,0,5,4,0,0,0,2,1,6,2,0,1,0,0,5,9
9,1,0,44,8,2,2,1,9,2,16,3,6,4,4,6,22,7,1,0,254,42,1,8,1,14,1,118,4,16,9,1,5,26,4,0,0,19,3,1,0,1,1,0,21,0,0,0,1,0,11,119,11,0,214,73,7,7,10,13,9,224,1,10,7,4,13,76,5,3,0,11,3,1,1,0,1,0,7,2,1,2,0,0,7,14
14,0,0,43,10,2,3,1,1,3,13,2,5,1,2,2,9,4,1,0,293,43,5,6,5,14,0,122,4,16,8,4,14,18,8,0,0,13,2,1,0,0,1,0,12,0,1,0,0,0,8,145,10,0,220,81,4,19,8,14,9,220,1,14,7,6,14,53,2,0,0,13,2,0,1,1,3,0,8,1,0,1,0,0,4,15
15,3,0,59,12,0,0,2,2,0,24,3,7,4,3,1,23,7,4,1,243,57,3,9,6,4,0,151,3,10,12,2,10,22,4,1,0,14,7,0,2,0,3,0,10,0,2,0,1,0,6,142,12,0,214,71,4,16,12,17,9,222,2,24,12,3,11,56,2,0,0,6,0,0,0,0,3,0,8,0,0,0,0,1,7,8
8,2,0,54,11,0,1,3,1,2,16,3,8,7,4,6,22,4,0,0,236,64,2,20,12,15,0,86,2,17,12,2,10,28,2,0,0,19,4,1,2,2,0,0,7,1,0,0,0,2,10,144,5,0,217,53,6,25,16,13,4,200,0,15,15,1,11,51,3,1,0,11,2,0,0,0,1,0,6,0,2,0,0,1,1,10
10,0,1,64,15,1,3,4,6,0,21,7,5,3,3,3,15,7,4,0,229,34,3,7,12,8,1,82,2,17,4,5,16,29,4,0,0,14,5,2,0,2,1,0,4,0,3,0,0,1,5,165,11,0,239,65,3,19,16,16,4,136,1,16,12,5,19,55,9,1,0,12,6,0,1,1,0,0,2,0,0,0,0,0,6,17
