V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,hom2004
4,1,5,0,0,1,3,5,6,0,70,0,63,2,8,21,26,0,2,0,0,0,0,0,2,0,0,1,2,15,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,1,2,2,0,2,0,17,3,0,1,8,2,0,1,0,0,0,1,2,2,0,18,0,42,3,3,3,8,2,0,1,0,0,0,0,2,2,0,0,0,18,0,0,0,3,2,0,0,0,0,0,4,0,1,0,15,0,23,0,0,1,14,11
11,0,4,0,0,2,4,6,17,0,73,0,48,3,10,21,11,0,0,0,0,0,0,0,2,1,0,2,0,6,1,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,1,3,1,0,0,5,0,19,1,0,1,1,2,2,3,0,0,0,2,1,2,0,20,0,22,3,0,2,2,3,0,0,0,0,0,1,2,1,0,3,0,15,1,0,1,0,0,1,1,0,0,0,0,1,2,0,12,0,19,1,2,2,5,9
9,51,2,0,0,1,6,4,10,0,120,0,63,5,6,23,13,0,0,0,0,0,0,0,2,0,0,4,0,20,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,5,0,1,3,0,2,0,2,0,0,0,1,3,0,0,7,0,21,2,0,0,0,0,0,3,0,0,0,1,9,2,0,21,0,33,7,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,19,1,2,1,0,1,0,3,0,0,0,1,1,0,0,14,0,21,1,1,2,1,9
9,1,6,0,0,0,2,8,17,0,130,0,62,3,9,16,18,2,1,1,0,0,0,0,1,1,0,1,0,20,1,0,1,1,0,0,1,0,0,0,1,3,0,0,5,0,6,0,1,2,1,5,1,0,0,0,0,0,4,0,0,6,1,27,2,0,1,0,2,0,3,0,0,0,4,10,2,0,28,0,49,1,0,8,6,2,0,1,0,0,0,1,3,1,0,7,0,14,0,0,0,2,1,0,1,0,0,0,1,2,2,0,21,0,23,2,1,1,1,6
6,3,7,0,0,0,6,8,8,0,99,0,60,6,14,28,34,3,1,2,0,0,0,2,5,0,0,4,1,22,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,3,3,1,3,2,0,1,2,0,0,0,3,6,0,0,1,0,18,3,0,0,2,2,0,1,0,0,0,3,7,1,0,72,0,43,3,1,4,5,0,0,0,0,0,0,4,3,0,0,7,0,15,2,0,0,3,1,0,2,0,0,0,0,8,0,0,20,0,23,3,1,4,4,6
6,3,0,0,0,0,5,14,4,0,120,0,70,4,16,37,27,0,0,0,0,0,0,1,1,0,0,4,0,35,1,0,2,10,2,0,0,0,0,0,0,2,1,0,7,0,5,0,0,8,3,0,2,0,0,0,0,2,2,0,0,5,0,16,3,0,1,3,4,1,0,0,0,0,3,3,3,0,55,0,54,1,0,4,3,3,1,0,0,0,0,0,4,4,0,2,0,26,1,0,2,4,1,2,0,0,0,1,1,5,1,0,17,0,25,3,0,4,11,3
3,1,0,0,0,2,7,5,9,0,111,0,75,2,10,29,60,0,0,0,0,0,1,0,1,1,0,2,0,24,2,1,1,0,0,0,0,0,0,0,0,3,2,0,7,0,5,0,1,5,0,2,0,0,0,0,0,2,3,3,0,17,1,32,2,0,0,21,5,0,1,0,0,0,2,5,2,0,105,0,76,2,1,4,2,1,1,1,0,0,0,1,3,1,0,7,0,22,2,0,0,2,0,2,0,0,0,0,2,4,1,0,21,0,26,1,1,6,5,10
10,2,1,0,0,1,3,6,15,0,107,0,98,4,9,20,42,3,1,1,0,0,0,1,6,1,0,1,0,20,1,0,0,17,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,4,5,0,1,2,0,0,0,1,1,2,0,18,0,24,0,0,0,5,3,2,0,0,0,0,2,6,6,0,66,0,47,2,1,4,14,2,0,0,0,0,1,2,3,1,0,6,0,27,0,0,0,1,6,1,0,0,0,0,1,4,0,0,7,0,26,0,0,4,13,10
10,1,0,0,0,0,8,12,14,0,111,0,63,1,9,36,63,4,0,0,0,0,0,1,2,2,0,3,1,17,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,6,0,0,0,0,0,0,2,1,0,0,8,0,28,1,0,2,30,3,0,0,0,0,0,4,6,5,0,57,0,55,2,0,5,7,3,0,4,0,0,0,1,3,2,0,7,0,25,3,0,0,2,1,0,1,0,0,0,4,1,0,0,7,0,18,2,1,6,6,10
10,4,1,0,0,0,6,11,11,0,45,0,88,1,10,24,50,1,1,0,0,0,0,0,5,0,0,6,0,18,2,0,2,6,0,0,1,0,0,0,1,1,0,0,0,0,6,0,1,3,1,0,0,0,0,0,0,1,1,1,0,4,0,38,1,0,0,8,6,1,1,0,0,0,0,3,3,1,27,0,57,1,1,3,20,3,1,0,0,0,1,1,1,2,0,10,0,30,0,0,0,6,5,0,0,0,0,0,1,5,0,0,12,0,16,0,0,1,22,13
13,4,0,0,0,0,7,4,6,1,49,0,55,2,13,31,52,1,0,0,0,0,0,1,1,0,0,7,2,18,2,1,0,6,4,0,0,0,0,0,0,0,0,0,1,0,6,0,2,1,5,0,0,1,0,0,0,3,3,0,0,8,0,23,0,0,1,15,3,0,0,0,0,0,2,4,2,0,36,0,41,0,0,5,11,0,3,0,0,0,0,1,4,0,0,4,1,31,0,0,0,15,3,3,0,0,0,0,3,2,3,0,12,0,22,3,0,6,12,6
6,3,0,0,0,3,2,7,5,0,25,0,66,1,12,27,69,2,1,0,0,0,0,1,3,0,0,3,3,17,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,1,0,0,0,0,2,2,4,0,5,1,24,2,1,1,15,3,1,0,0,0,0,0,4,4,1,26,0,46,1,0,7,9,0,1,0,0,0,0,3,3,1,0,3,0,20,1,0,0,12,1,0,0,0,0,0,1,1,3,0,9,0,18,0,2,14,20,7
7,2,0,0,0,0,6,7,5,0,23,0,63,7,8,38,113,4,0,0,0,0,0,2,1,3,0,4,0,24,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,0,0,1,0,0,0,2,2,0,0,2,0,39,1,0,4,12,5,1,0,0,0,0,1,1,2,0,67,0,38,1,0,2,10,0,1,0,0,0,0,1,1,1,0,10,0,18,1,0,3,6,0,0,0,0,0,1,0,1,1,0,7,0,16,1,1,5,8,6
6,5,0,0,0,0,2,4,4,0,52,0,63,4,8,29,76,3,0,1,0,0,0,1,1,1,0,11,0,30,0,0,1,11,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,1,3,2,0,0,0,0,0,3,2,1,0,8,0,28,2,0,3,16,0,0,1,0,0,0,1,1,1,0,33,0,33,1,1,1,20,1,0,0,0,0,0,0,4,3,0,6,0,15,0,0,1,5,0,0,0,0,0,1,0,2,0,0,11,0,17,2,1,3,15,11
11,4,0,0,0,1,4,5,4,0,27,0,79,6,12,24,77,2,0,0,0,0,0,2,3,1,0,9,0,9,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,4,3,0,0,1,0,0,0,2,0,1,0,5,0,39,0,0,2,10,5,1,0,0,0,0,0,2,2,0,19,0,36,0,1,3,17,2,1,0,0,0,0,0,1,0,0,5,0,11,0,0,1,12,2,1,0,0,0,0,0,1,1,0,14,0,16,0,3,1,20,4
4,4,0,0,0,1,8,7,3,0,27,0,83,3,18,51,80,1,1,0,0,0,0,1,1,0,0,4,2,23,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,4,8,5,0,0,0,2,4,2,2,0,9,0,43,0,1,2,11,5,0,0,0,0,0,4,10,1,0,30,0,31,2,0,3,11,2,0,0,0,0,0,1,2,1,0,4,1,19,0,0,2,6,0,0,0,0,0,0,2,1,2,0,10,0,17,2,0,6,17,7
7,1,1,0,0,0,6,4,5,0,24,0,72,2,10,30,125,1,0,0,0,0,0,4,1,0,0,2,2,22,2,0,0,9,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,2,4,8,0,0,0,0,1,1,2,0,0,2,0,48,0,0,2,13,3,0,0,0,0,2,2,3,3,0,13,0,28,1,0,7,13,2,0,0,0,0,0,0,2,1,0,2,0,11,0,0,0,6,0,1,0,0,0,0,2,3,0,0,11,0,25,0,2,3,13,8
