V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,hom2004
2,0,0,0,0,0,0,0,4,11,21,0,4,2,0,33,3,1,0,0,0,0,0,0,0,5,25,27,0,10,0,2,45,20,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,2,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,7,4,0,0,0,0,0,0,0,0,4,29,21,0,2,1,0,40,12,1,2,0,0,0,0,0,0,3,38,20,0,3,0,1,80,17,0,0,0,0,0,0,0,0,2,12,13,0,4,1,3,34,17,5
5,1,0,0,0,0,0,0,2,15,23,0,2,1,0,25,6,2,0,0,0,0,0,0,0,4,16,25,0,3,0,0,44,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,7,1,3,1,0,0,0,0,0,0,1,19,12,0,4,0,2,26,9,0,0,0,0,0,0,0,0,2,29,13,0,2,0,0,58,11,1,0,0,0,0,0,0,0,1,10,7,0,3,0,0,31,17,1
1,0,0,0,0,0,0,0,1,16,17,0,4,3,0,19,3,2,0,0,0,0,0,0,0,0,16,26,0,6,0,0,41,21,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,9,6,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,7,2,0,0,0,0,0,0,0,0,9,21,10,0,6,0,1,29,10,0,0,0,0,0,0,0,1,2,28,22,0,3,1,0,62,18,2,0,0,0,0,0,2,0,4,10,4,0,1,1,1,38,19,5
5,0,0,0,0,0,0,0,3,20,20,0,5,0,0,28,10,1,1,0,0,0,0,0,0,4,24,17,0,5,1,0,42,16,0,0,0,0,0,0,0,0,1,2,4,0,2,0,0,6,5,0,1,0,0,0,0,0,0,2,6,5,0,2,0,0,6,3,0,1,0,0,0,0,0,0,6,23,14,0,9,1,0,29,11,1,1,0,0,0,0,0,0,1,54,24,0,1,0,0,67,16,1,0,0,0,0,0,0,0,0,8,13,0,3,0,3,34,14,0
0,0,0,0,0,0,0,0,0,23,15,0,9,2,0,24,15,0,0,0,0,0,0,0,0,0,16,12,0,3,0,1,46,19,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,6,1,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,4,1,2,0,0,0,0,0,0,0,4,18,22,0,4,2,1,28,12,2,1,0,0,0,0,0,0,4,40,18,0,1,1,1,82,17,1,2,0,0,0,0,0,0,1,9,13,0,1,0,0,28,8,4
4,2,0,0,0,0,0,0,1,22,18,0,8,2,1,24,5,0,1,0,0,0,0,1,0,1,29,18,0,7,0,0,51,14,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,6,2,0,1,0,0,9,0,4,0,0,0,0,0,0,0,4,17,19,0,9,3,0,38,5,0,1,0,0,0,0,0,0,1,51,13,0,3,0,2,77,15,2,1,0,0,0,0,0,0,3,7,10,0,7,0,1,38,13,4
4,0,0,0,0,0,0,0,4,19,8,0,2,0,0,35,7,2,1,0,0,0,0,0,0,4,13,13,0,3,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,0,0,0,0,0,2,5,0,0,2,0,0,7,5,1,1,0,0,0,0,1,2,5,18,6,0,3,1,0,33,16,1,1,0,0,0,0,0,0,2,49,13,0,1,1,3,71,6,2,1,0,0,0,0,2,0,1,10,6,0,1,1,5,25,6,1
1,1,0,0,0,0,0,0,1,13,6,0,4,0,2,38,4,0,0,0,0,0,0,1,0,2,21,3,0,5,0,0,51,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,4,0,1,2,0,0,0,0,0,0,3,15,2,0,7,4,1,37,5,0,0,1,0,0,0,0,1,0,56,5,0,5,1,0,71,8,4,0,0,0,0,0,1,0,4,12,3,0,0,0,1,39,11,2
2,1,0,0,0,0,0,0,2,18,10,0,5,0,3,38,4,3,1,0,0,0,0,1,0,4,38,10,0,8,0,2,61,8,1,0,0,0,0,0,0,0,2,1,1,0,5,0,0,8,2,0,1,0,0,0,0,0,0,0,3,0,0,5,1,0,2,2,1,1,0,0,0,0,0,0,1,26,8,0,8,2,1,35,5,0,0,0,0,0,0,2,0,3,75,8,0,7,1,0,95,10,2,2,0,0,0,0,1,0,2,13,5,0,2,0,1,40,11,2
2,0,0,0,0,0,0,0,2,18,8,0,6,1,2,46,5,1,0,0,0,0,0,0,0,5,32,10,0,6,2,0,52,5,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,11,4,1,1,0,0,0,0,0,0,2,5,4,0,0,1,0,2,1,1,0,0,0,0,0,0,0,8,24,7,0,7,1,1,30,4,1,0,0,0,0,0,1,0,1,72,15,0,5,0,2,73,5,4,1,0,0,0,0,1,0,2,12,7,0,2,1,1,35,7,2
2,2,0,0,0,0,0,0,3,22,14,0,6,2,0,38,6,2,1,0,0,0,0,0,0,3,42,23,0,3,1,0,50,12,1,0,0,0,0,0,0,0,0,6,0,0,1,2,0,13,4,0,1,0,0,0,0,0,0,2,8,3,0,2,0,1,2,2,2,0,0,0,0,0,2,0,2,23,9,0,4,1,1,29,14,2,0,0,0,0,0,1,0,2,57,22,0,2,0,0,98,3,3,0,0,0,0,0,0,0,3,23,3,0,3,2,2,59,15,3
3,1,0,0,0,0,0,0,4,21,14,0,4,0,0,35,6,4,2,0,0,0,0,0,0,1,41,13,0,5,0,2,59,6,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,15,3,1,0,0,0,0,0,0,0,3,7,5,0,0,0,1,3,3,1,1,1,0,0,0,1,0,0,25,10,0,3,0,1,40,14,0,0,0,0,0,0,0,0,3,85,19,0,2,0,1,99,10,6,0,1,0,0,0,0,0,2,25,21,0,1,0,1,48,9,5
5,2,6,0,0,0,0,0,3,15,10,0,7,0,1,31,1,2,0,0,0,0,0,1,0,3,48,6,0,1,1,0,59,5,0,0,1,0,0,0,0,0,2,1,2,0,0,0,1,22,2,1,0,1,0,0,0,0,0,1,7,1,0,1,0,0,5,0,3,0,0,0,0,0,0,0,1,34,6,0,6,0,2,44,3,4,1,1,0,0,0,1,0,2,73,9,0,1,0,0,101,6,7,1,0,0,0,0,0,0,1,31,19,0,5,0,1,72,10,9
