V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
49,1,9,0,0,0,2,1,12,4,44,0,5,0,6,4,3,52
52,1,19,0,0,0,0,1,5,0,33,1,4,0,1,2,1,59
59,1,11,0,0,1,1,2,3,1,51,0,4,0,7,2,3,66
66,1,14,0,0,0,4,3,7,2,34,1,3,0,3,4,2,63
63,4,9,0,0,0,2,4,3,3,38,0,1,0,1,2,2,42
42,1,8,0,0,0,6,1,4,3,39,0,4,1,1,5,2,54
54,2,15,0,0,0,1,1,5,3,27,0,4,1,2,2,1,72
72,4,19,0,0,1,0,2,5,1,32,0,2,0,3,1,2,66
66,7,7,0,0,0,3,1,6,1,57,0,7,0,2,3,1,48
48,1,12,0,0,0,1,2,3,5,47,0,8,0,1,4,4,45
45,3,9,0,0,0,2,3,1,3,33,0,7,0,0,2,2,49
49,2,6,0,0,0,2,1,3,1,53,0,5,0,0,3,0,47
47,5,5,0,0,0,0,3,4,3,67,0,5,0,3,0,4,37
37,2,4,0,0,0,1,4,4,1,50,0,7,0,1,0,0,49
49,0,3,0,0,1,1,3,5,7,26,0,2,0,2,3,3,70
70,3,7,0,0,1,0,1,1,1,105,0,5,0,4,5,4,40
40,1,7,0,0,0,0,1,5,3,78,1,3,0,1,3,3,54
54,4,13,0,0,0,0,4,8,3,60,0,1,0,1,3,0,53
53,4,11,0,0,0,0,5,8,2,70,0,0,0,3,4,2,44
44,1,3,0,0,0,0,1,5,2,39,0,4,0,0,4,1,41
41,2,3,0,0,1,0,0,9,0,42,0,5,0,2,0,1,42
42,5,4,0,0,0,7,2,8,3,53,0,6,0,0,7,8,35
35,1,6,0,0,0,0,1,6,0,30,0,4,0,2,5,1,47
47,6,8,0,0,1,0,1,4,1,42,1,6,0,1,3,2,61
61,4,5,0,0,0,0,2,4,2,39,0,5,0,1,2,5,48
48,6,5,0,0,0,0,2,6,0,33,0,8,0,3,8,1,51
51,7,5,0,0,0,1,2,7,0,19,0,3,0,1,4,4,55
55,4,8,0,0,0,1,4,7,2,34,0,3,0,2,4,2,55
55,3,5,0,0,0,0,1,6,0,34,1,3,0,2,5,4,50
50,6,6,0,0,1,1,0,3,2,26,0,2,0,1,5,8,49
49,2,5,0,0,1,0,0,4,0,39,0,1,0,3,5,2,38
38,3,11,0,0,0,2,0,7,0,32,0,8,0,2,3,3,35
35,3,8,0,0,1,0,1,3,0,35,0,8,0,4,9,5,51
51,3,11,0,0,1,0,0,5,2,23,0,8,0,1,16,1,56
56,0,6,0,0,1,3,0,1,0,32,0,1,5,8,15,3,45
45,6,6,0,0,0,1,0,5,2,38,0,5,0,0,11,3,46
46,2,4,0,0,0,1,0,2,1,43,1,3,0,0,10,2,45
45,1,3,0,0,0,0,0,9,1,32,0,4,1,0,11,0,42
42,1,3,0,0,0,1,0,6,1,44,0,3,0,0,16,2,39
39,2,11,0,0,0,1,0,3,0,43,0,3,0,8,4,9,25
25,1,15,0,0,0,2,0,1,1,25,0,2,0,3,12,3,44
44,0,3,0,0,0,5,0,6,1,14,0,4,0,2,7,6,27
27,4,3,0,0,1,3,0,6,0,22,0,5,0,0,10,2,41
41,5,3,0,0,0,1,0,8,0,25,0,4,0,2,4,5,44
44,5,8,0,0,1,3,0,0,11,31,0,0,0,0,8,7,20
20,2,6,0,0,1,2,0,6,1,18,0,1,0,1,3,0,35
35,0,4,0,0,1,1,0,2,0,17,1,2,2,2,4,6,37
37,3,6,0,0,0,2,0,1,0,21,0,2,2,3,5,4,33
33,1,2,0,0,1,0,0,1,0,16,0,4,0,4,8,1,22
22,3,2,0,0,0,3,0,3,0,13,0,7,1,5,8,6,10
10,1,1,0,0,0,1,0,0,1,25,0,3,0,7,13,7,25
25,2,2,0,0,0,5,0,2,0,8,0,8,2,4,7,2,24
24,0,1,0,0,1,6,0,2,0,10,0,3,0,0,2,1,26
26,3,1,0,0,0,4,0,3,0,13,0,2,0,0,7,1,15
