V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
2,0,0,44,21,0,0,2,42,0,9,4,0,6,1,2,0,11
11,2,0,24,1,0,0,3,101,1,8,0,0,0,0,1,1,9
9,3,0,25,5,0,0,6,139,2,13,0,0,1,12,3,9,7
7,3,6,22,5,0,0,5,152,0,9,4,0,2,5,5,0,3
3,3,0,17,2,0,0,5,129,0,10,2,1,0,14,14,13,3
3,1,11,14,6,1,0,4,116,0,14,5,0,1,9,4,5,5
5,4,4,9,2,0,2,9,171,1,9,0,0,8,6,9,0,7
7,5,1,3,1,0,1,5,185,0,12,2,0,3,11,4,18,5
5,5,0,7,2,0,1,0,42,1,13,0,0,1,2,4,7,6
6,3,0,4,1,0,0,2,32,0,12,5,0,1,0,1,6,8
8,3,0,8,1,0,0,0,15,0,7,10,0,1,3,1,1,4
4,3,3,7,2,0,1,1,11,1,25,2,0,2,0,4,2,3
3,2,3,7,0,0,1,2,23,0,16,1,0,4,3,3,7,20
20,2,1,7,0,0,1,0,24,1,49,3,0,2,5,3,9,3
3,3,1,7,1,0,1,0,21,0,20,4,0,0,2,4,3,4
4,3,0,13,1,1,2,0,42,0,28,4,0,10,4,5,11,5
5,4,0,8,1,0,0,1,13,0,36,2,0,1,3,2,3,14
14,4,0,6,5,0,1,0,20,0,36,7,0,1,3,0,13,13
13,4,0,6,1,0,3,1,13,0,39,0,0,0,4,5,4,4
4,2,0,0,1,0,4,1,6,0,20,3,0,0,0,1,1,14
14,2,1,4,1,0,0,0,11,0,24,2,0,3,1,1,1,9
9,4,0,23,0,0,1,0,27,0,29,1,0,0,0,3,5,8
8,2,0,17,1,0,1,4,15,0,31,1,0,2,5,2,5,4
4,3,0,3,1,0,0,0,7,0,21,2,0,2,2,0,4,9
9,2,0,0,0,0,0,1,5,0,16,0,0,1,1,0,0,7
7,1,0,2,1,0,0,2,6,0,27,0,1,1,0,0,2,9
9,1,0,0,1,0,0,0,6,0,24,4,0,1,0,0,0,5
5,1,0,1,1,0,1,2,4,1,30,2,0,0,0,1,2,8
8,2,1,1,3,0,0,2,1,0,22,3,0,2,1,0,4,8
8,5,0,3,2,0,0,1,18,0,38,3,1,0,0,0,1,5
5,2,0,1,0,0,0,4,7,0,38,0,0,0,0,2,0,6
6,3,0,1,0,0,3,0,0,0,27,0,2,0,1,1,1,14
14,1,0,2,0,0,0,0,6,0,31,2,0,0,1,0,1,16
16,6,0,5,0,1,1,2,4,0,35,2,0,0,1,0,0,14
14,0,0,3,0,0,2,1,6,0,36,0,0,3,1,1,3,8
8,4,0,1,0,1,1,0,9,0,24,0,0,1,3,4,1,14
14,1,0,1,0,0,0,0,6,1,20,4,1,0,5,4,1,10
10,3,0,2,0,0,2,1,5,0,3,1,0,2,15,3,1,4
4,2,0,1,0,0,0,1,0,0,2,0,1,0,5,5,0,4
4,2,0,1,0,1,4,2,6,0,5,1,0,1,6,3,1,10
10,4,0,0,1,0,0,1,5,0,2,5,0,0,4,2,0,12
12,3,0,0,0,1,2,1,9,0,6,2,0,0,5,2,1,17
17,2,0,0,0,0,4,2,6,1,2,2,0,2,4,1,0,13
13,2,0,0,0,0,2,0,2,0,2,1,0,3,1,0,2,27
27,4,0,0,0,0,2,0,3,4,1,3,0,1,1,1,1,12
12,1,0,0,0,0,0,0,2,1,7,0,1,0,3,1,3,20
20,1,0,0,0,0,1,0,12,1,4,0,0,2,0,0,3,7
7,4,0,0,0,0,3,1,12,0,11,2,2,0,0,3,5,5
5,2,1,0,0,0,4,0,76,1,12,0,5,2,1,2,8,14
14,2,1,0,0,0,5,1,42,5,39,0,5,1,3,0,1,12
12,2,1,0,0,1,3,2,23,1,25,0,6,6,2,1,3,18
18,1,0,0,0,1,1,2,37,2,17,2,6,1,0,1,3,9
9,1,0,0,0,1,1,0,17,2,17,4,2,1,0,0,0,9
9,2,0,0,0,0,6,2,24,3,18,1,14,2,0,0,3,11
