V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
13,1,2,0,0,0,0,0,2,0,0,0,3,0,1,0,0,49,1,9,0,0,0,2,1,12,4,44,0,5,0,6,4,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
15,0,2,0,0,0,0,0,3,0,1,0,0,0,2,2,1,52,1,19,0,0,0,0,1,5,0,33,1,4,0,1,2,1,5,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,5,59,1,11,0,0,1,1,2,3,1,51,0,4,0,7,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
8,1,3,0,0,0,1,0,5,1,0,0,1,0,0,1,5,66,1,14,0,0,0,4,3,7,2,34,1,3,0,3,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,0,3,0,0,0,3,0,2,0,1,0,1,0,1,2,0,63,4,9,0,0,0,2,4,3,3,38,0,1,0,1,2,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
11,0,4,0,0,1,1,0,2,1,2,2,0,0,0,5,1,42,1,8,0,0,0,6,1,4,3,39,0,4,1,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,13
13,2,1,0,0,0,0,0,0,0,1,0,2,0,0,3,1,54,2,15,0,0,0,1,1,5,3,27,0,4,1,2,2,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
19,0,3,0,0,0,1,0,1,0,1,0,2,0,0,2,2,72,4,19,0,0,1,0,2,5,1,32,0,2,0,3,1,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,1,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,66,7,7,0,0,0,3,1,6,1,57,0,7,0,2,3,1,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,48,1,12,0,0,0,1,2,3,5,47,0,8,0,1,4,4,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
17,0,1,0,0,1,0,0,3,0,2,1,0,0,1,0,1,45,3,9,0,0,0,2,3,1,3,33,0,7,0,0,2,2,12,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,2,49,2,6,0,0,0,2,1,3,1,53,0,5,0,0,3,0,7,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,2,1,0,0,0,0,0,0,0,2,0,3,0,2,1,1,47,5,5,0,0,0,0,3,4,3,67,0,5,0,3,0,4,3,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,4,0,0,0,0,0,3,0,1,0,0,0,1,3,0,37,2,4,0,0,0,1,4,4,1,50,0,7,0,1,0,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
20,0,3,0,0,0,0,0,1,0,1,0,1,0,0,2,2,49,0,3,0,0,1,1,3,5,7,26,0,2,0,2,3,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
12,1,1,0,0,0,0,2,2,0,0,0,3,0,1,3,6,70,3,7,0,0,1,0,1,1,1,105,0,5,0,4,5,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,0,3,0,0,0,1,2,1,2,1,1,1,0,0,2,0,40,1,7,0,0,0,0,1,5,3,78,1,3,0,1,3,3,4,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14
14,1,1,0,0,0,0,0,1,0,2,0,1,0,1,1,2,54,4,13,0,0,0,0,4,8,3,60,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21,1,6,0,0,0,2,3,1,1,2,0,2,0,1,3,4,53,4,11,0,0,0,0,5,8,2,70,0,0,0,3,4,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
10,0,5,0,0,0,0,0,1,0,0,0,0,0,1,5,5,44,1,3,0,0,0,0,1,5,2,39,0,4,0,0,4,1,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,41,2,3,0,0,1,0,0,9,0,42,0,5,0,2,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,1,3,0,0,1,1,0,1,1,1,0,0,0,0,5,0,42,5,4,0,0,0,7,2,8,3,53,0,6,0,0,7,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,15
15,1,4,0,0,0,1,0,3,0,0,0,0,0,0,7,3,35,1,6,0,0,0,0,1,6,0,30,0,4,0,2,5,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
11,2,0,0,0,0,1,0,1,0,1,1,2,0,1,2,0,47,6,8,0,0,1,0,1,4,1,42,1,6,0,1,3,2,6,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12
12,1,4,0,0,0,0,0,3,0,0,0,1,1,0,1,3,61,4,5,0,0,0,0,2,4,2,39,0,5,0,1,2,5,9,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13,0,5,0,0,0,0,0,4,0,0,0,3,0,1,6,3,48,6,5,0,0,0,0,2,6,0,33,0,8,0,3,8,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,5,51,7,5,0,0,0,1,2,7,0,19,0,3,0,1,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11
11,0,2,0,0,0,0,3,0,0,2,0,0,0,1,4,4,55,4,8,0,0,0,1,4,7,2,34,0,3,0,2,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
12,0,3,0,0,0,1,0,1,0,1,0,1,0,0,1,10,55,3,5,0,0,0,0,1,6,0,34,1,3,0,2,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
17,0,0,0,0,1,3,1,3,0,2,0,2,0,0,2,7,50,6,6,0,0,1,1,0,3,2,26,0,2,0,1,5,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
15,0,2,0,0,1,1,0,0,0,1,0,0,0,1,4,1,49,2,5,0,0,1,0,0,4,0,39,0,1,0,3,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
10,0,5,0,0,0,0,0,2,1,0,0,0,0,1,5,2,38,3,11,0,0,0,2,0,7,0,32,0,8,0,2,3,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12
12,0,3,0,0,0,0,1,0,0,0,0,1,0,1,12,3,35,3,8,0,0,1,0,1,3,0,35,0,8,0,4,9,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,6,51,3,11,0,0,1,0,0,5,2,23,0,8,0,1,16,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,11
11,1,1,0,0,1,0,0,0,2,2,0,4,0,3,2,1,56,0,6,0,0,1,3,0,1,0,32,0,1,5,8,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,2,1,0,0,0,0,0,1,0,1,0,3,0,1,8,7,45,6,6,0,0,0,1,0,5,2,38,0,5,0,0,11,3,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,46,2,4,0,0,0,1,0,2,1,43,1,3,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,2,45,1,3,0,0,0,0,0,9,1,32,0,4,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
11,0,0,0,0,0,0,0,0,0,1,0,2,1,2,7,3,42,1,3,0,0,0,1,0,6,1,44,0,3,0,0,16,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,2,0,0,0,1,0,0,0,2,0,4,0,1,3,2,39,2,11,0,0,0,1,0,3,0,43,0,3,0,8,4,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
