V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
9,2,0,0,0,0,1,0,8,29,43,0,4,0,3,38,31,3,1,0,0,0,0,0,0,1,16,18,0,2,0,1,22,10,6,3,0,0,0,0,1,0,5,18,42,0,11,0,21,99,85,5,0,0,0,0,0,0,0,1,14,10,0,3,0,1,19,16,4
4,1,0,0,0,0,0,0,8,30,53,0,7,4,1,29,30,3,0,0,0,0,0,0,0,2,15,12,0,3,0,2,27,15,3,2,0,0,0,0,1,0,2,35,38,0,2,0,38,75,69,0,0,0,0,0,0,0,0,5,14,15,0,2,0,0,15,16,8
8,0,0,0,0,0,0,0,6,26,37,0,12,4,0,20,24,1,0,0,0,0,0,0,0,3,17,11,0,3,2,3,27,9,6,3,0,0,0,0,1,0,3,26,35,0,7,2,38,83,83,2,1,0,0,0,0,0,0,2,11,14,0,2,2,0,19,13,5
5,4,0,0,0,0,0,0,9,42,34,0,9,2,3,17,29,2,1,0,0,0,0,0,0,1,22,16,0,2,2,4,20,21,3,1,0,0,0,0,1,0,3,31,31,0,5,1,32,84,82,4,2,0,0,0,0,0,0,3,16,16,0,2,2,0,21,16,11
11,3,0,0,0,0,0,0,4,26,28,0,9,3,1,30,39,3,0,0,0,0,0,0,0,4,23,6,0,9,1,1,17,15,7,1,0,0,0,0,0,1,5,37,26,0,15,5,43,100,82,5,1,0,0,0,0,0,1,6,17,14,0,3,1,1,24,16,9
9,3,0,0,0,0,0,0,8,17,38,0,7,0,3,28,31,0,0,0,0,0,0,1,0,1,10,10,0,6,2,1,15,19,7,6,0,0,0,0,1,1,3,40,30,0,5,0,38,121,82,4,2,0,0,0,0,0,0,0,18,10,0,5,0,1,14,12,9
9,2,0,0,0,0,1,0,3,13,23,0,6,1,4,24,27,2,0,0,0,0,0,0,0,1,18,11,0,4,0,4,5,14,4,0,0,0,0,0,0,0,3,43,12,0,6,1,54,84,80,3,1,0,0,0,0,0,0,3,30,6,0,7,0,0,6,14,13
13,1,0,0,0,0,2,1,6,32,17,0,10,3,0,29,22,2,0,0,0,0,0,0,0,1,24,5,0,3,0,2,21,6,4,3,0,0,0,0,4,0,0,28,10,0,4,0,35,102,56,7,0,0,0,0,0,0,0,0,17,7,0,5,1,0,13,12,9
9,1,0,0,0,0,0,0,2,24,23,0,14,2,2,33,22,1,0,0,0,0,0,0,0,2,36,10,0,10,0,1,24,10,6,2,0,0,0,0,2,0,1,26,13,0,6,5,28,102,117,6,1,0,0,0,0,0,0,1,17,10,0,8,0,0,26,11,11
11,0,0,0,0,0,1,0,9,29,26,0,7,3,0,25,34,5,1,0,0,0,0,0,0,3,20,9,0,2,2,1,24,7,2,0,0,0,0,0,0,0,3,44,21,0,2,1,25,98,60,7,1,0,0,0,0,0,0,1,22,11,0,7,0,1,14,10,10
10,2,0,0,0,0,1,1,3,37,35,0,12,0,3,29,22,4,1,0,0,0,0,0,0,3,29,8,0,3,0,2,12,16,0,1,0,0,0,0,3,0,1,58,27,0,8,1,30,117,65,7,2,0,0,0,0,0,0,2,33,6,0,2,1,0,27,9,6
6,3,0,0,0,0,0,0,3,36,29,0,12,2,2,36,26,0,0,0,0,0,0,0,0,2,30,11,0,4,0,0,10,11,3,1,0,0,0,0,2,0,4,65,24,0,11,2,45,116,125,5,1,0,0,0,0,1,0,5,23,12,0,7,0,1,14,20,7
