V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,hom2004
6,2,2,3,0,4,0,8,6,63,31,0,32,6,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,7,4,12,0,8,11,135,53,0,36,8,3,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,11,2,0,0,0,0,0,2,2,3,11,0,4,0,1,6,1,5,2,0,1,1,2,0,4,3,10,20,0,8,4,0,2,4,8
8,2,0,7,0,2,0,1,3,53,24,1,26,1,1,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,10,4,3,0,3,8,125,52,0,48,3,16,25,33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,8,1,0,5,1,1,0,1,2,12,1,0,6,0,1,2,6,6,6,0,6,3,0,0,3,2,15,17,1,13,0,0,2,10,6
6,2,1,7,2,3,0,6,11,33,59,0,27,3,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,33,5,3,0,7,10,114,78,0,36,3,9,42,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,8,1,0,0,1,4,7,11,1,6,2,0,4,6,6,2,0,2,1,1,0,6,4,10,19,0,10,2,1,2,6,17
17,1,0,5,0,3,0,2,7,31,296,0,17,3,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,15,3,0,1,3,6,0,7,13,73,356,0,27,6,2,21,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,2,0,0,1,0,0,2,2,6,73,2,4,2,0,2,4,4,2,0,1,1,6,0,2,3,14,105,0,5,1,1,2,2,12
12,3,1,3,2,5,0,3,6,33,140,1,15,1,0,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,1,13,0,2,19,101,229,0,23,6,5,17,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,2,0,1,0,1,4,2,61,1,9,2,0,2,7,3,2,1,1,0,1,0,1,5,8,65,2,9,4,0,4,6,10
10,3,0,1,0,11,0,4,13,35,149,2,20,5,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,0,4,0,3,27,100,270,1,37,9,5,15,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,7,1,0,1,1,0,0,0,2,12,57,2,11,1,0,2,3,6,0,0,0,1,1,0,1,2,11,83,0,3,0,0,1,6,7
7,3,0,8,4,1,0,6,4,29,124,1,13,1,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,10,3,3,0,2,17,62,274,0,26,7,3,14,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,1,0,5,2,0,0,1,2,10,97,1,11,2,0,2,8,5,2,0,2,0,1,0,2,3,10,66,0,6,2,1,4,8,11
11,2,0,4,8,0,0,3,12,25,131,1,21,1,2,9,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,1,12,13,2,0,9,23,106,273,0,38,4,4,15,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,0,5,12,0,0,0,2,3,51,0,12,2,1,3,8,7,5,0,5,2,1,0,2,4,7,61,0,14,0,0,3,9,12
12,3,0,1,1,4,0,4,9,38,103,1,20,6,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,3,0,7,1,6,0,8,21,109,210,0,32,8,9,43,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,1,7,10,78,2,7,3,0,4,8,7,1,0,1,2,0,0,3,6,6,72,0,10,3,0,2,6,10
10,1,1,2,3,0,0,1,14,58,98,0,17,5,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,2,0,0,5,2,0,2,19,153,198,0,34,6,19,19,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,8,0,0,2,4,1,0,1,5,22,62,0,8,1,5,5,5,10,3,0,2,1,0,0,2,5,14,98,0,7,1,0,4,6,15
