V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
10,4,6,0,0,0,2,0,6,0,38,3,0,1,0,12,0,8
8,4,9,0,0,0,1,0,4,0,37,3,0,2,9,15,0,6
6,1,15,0,0,0,0,0,5,0,29,0,0,2,6,20,0,10
10,0,8,0,0,0,3,0,7,0,36,0,0,1,4,11,0,10
10,2,6,0,0,0,1,0,8,0,29,1,0,5,5,14,0,14
14,4,15,0,0,0,0,0,4,0,16,1,0,0,7,27,0,14
14,2,10,0,0,0,0,0,7,0,29,1,0,2,4,26,0,15
15,0,16,0,0,1,1,0,7,0,20,1,0,4,3,18,0,12
12,2,9,0,0,1,0,0,4,0,35,1,0,2,3,26,0,12
12,5,19,0,0,0,0,0,8,0,39,3,0,1,2,26,0,10
10,2,11,0,0,0,0,0,3,0,24,1,0,2,3,21,0,12
12,2,8,0,0,1,0,0,10,0,39,0,0,1,6,23,0,14
14,3,17,0,0,1,0,0,4,0,24,1,0,2,3,18,0,29
29,0,10,0,0,0,0,0,5,0,25,3,0,1,3,15,0,23
23,2,11,0,0,1,0,0,4,0,39,2,0,0,2,22,0,21
21,3,13,0,0,2,0,0,6,0,36,3,0,1,8,22,0,14
14,3,12,0,0,0,0,0,1,0,23,2,0,0,5,17,0,16
16,7,14,0,0,0,0,0,10,0,35,2,0,3,10,18,0,20
20,3,10,0,0,1,2,0,5,0,28,2,0,3,5,10,0,27
27,3,20,0,0,1,0,0,3,0,32,2,0,10,2,12,0,15
15,5,18,0,0,0,1,0,5,0,51,5,0,1,8,14,0,12
12,1,15,0,0,1,0,0,2,0,36,0,0,1,7,19,0,23
23,5,19,0,0,0,0,0,1,0,40,3,0,5,6,7,0,26
26,4,16,0,0,1,0,0,6,0,58,2,0,5,3,13,0,27
27,3,8,0,0,3,0,0,2,0,55,2,0,1,8,15,0,16
16,2,15,0,0,0,0,0,1,0,54,2,0,1,8,16,0,15
15,2,15,0,0,1,2,0,10,0,54,1,0,2,11,6,0,20
20,7,16,0,0,2,1,0,9,0,41,0,0,2,6,16,0,27
27,3,13,0,0,0,1,0,7,0,59,1,0,4,5,13,0,30
30,4,8,0,0,0,0,0,8,0,48,1,0,7,10,14,0,15
15,3,21,0,0,1,0,0,4,0,39,1,0,2,6,28,0,17
17,6,17,0,0,0,2,0,3,0,61,2,0,2,5,24,0,21
21,3,6,0,0,0,2,0,5,0,58,0,0,7,11,21,0,33
33,3,20,0,0,0,4,0,3,0,68,1,0,2,6,14,0,23
23,7,17,0,0,1,1,0,6,0,71,1,0,4,6,13,0,23
23,5,5,0,0,0,1,0,2,0,89,3,0,2,4,12,0,15
15,4,16,0,0,0,0,0,3,0,91,1,0,3,4,8,0,20
20,6,12,0,0,0,0,0,5,0,105,1,0,4,6,15,0,31
31,2,13,0,0,0,0,0,4,0,91,2,0,1,2,11,0,38
38,1,17,0,0,1,0,0,5,0,110,3,0,6,6,9,0,21
21,4,14,0,0,0,2,0,13,0,103,0,0,4,2,11,0,35
35,2,18,0,0,3,1,0,12,0,88,2,0,4,5,7,0,30
30,2,18,0,0,1,0,0,11,0,97,2,0,2,5,15,0,20
20,2,10,0,0,2,1,0,17,0,164,1,0,5,2,13,5,26
26,2,5,0,0,0,0,0,13,0,115,1,0,5,4,8,5,32
32,1,8,0,0,0,1,0,18,0,117,1,0,4,1,11,8,40
40,1,11,0,0,3,0,0,10,0,125,0,1,4,8,10,4,42
42,0,5,0,0,2,0,0,14,0,132,5,0,6,8,12,1,24
24,1,8,0,0,1,1,0,11,0,102,1,0,5,5,8,2,41
41,0,5,0,0,0,1,0,14,0,128,2,0,7,4,16,3,40
40,2,6,0,0,1,3,0,11,0,103,1,0,4,4,6,2,32
32,1,10,0,0,1,1,0,20,0,124,3,0,2,5,7,2,42
42,1,11,0,0,0,0,0,15,0,118,1,1,2,2,3,2,43
43,0,8,0,0,3,0,0,18,0,122,0,0,7,2,2,3,38
