V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
13,1,3,0,0,0,5,0,1,0,3,0,0,1,0,2,15,11,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,24,2,0,0,0,1,7,3,6,0,5,0,0,0,0,1,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
14,1,5,0,0,0,2,2,2,0,3,0,0,0,0,0,11,5,1,3,0,0,0,1,1,2,0,2,0,0,0,0,0,3,23,3,0,0,0,1,7,2,6,0,6,0,0,0,0,1,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,2,4,0,0,0,2,0,1,0,1,0,0,0,0,0,8,9,0,4,0,0,0,2,1,1,0,1,0,0,0,0,0,2,10,1,2,0,0,2,12,2,6,0,16,0,0,0,0,3,16,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,7
7,2,10,0,0,0,0,0,3,0,2,0,0,0,0,1,10,8,0,2,0,0,0,10,0,1,0,1,0,0,0,0,0,7,26,6,0,0,0,1,8,4,6,0,14,0,1,1,0,3,19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8
8,4,8,0,0,0,1,1,1,0,1,0,0,0,0,3,10,8,3,6,0,0,0,7,1,0,0,0,0,0,0,0,0,9,20,3,2,0,0,1,11,4,4,0,9,0,0,3,0,2,21,3,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,3,9
9,1,10,0,0,0,3,0,3,0,1,0,0,0,0,1,9,6,2,1,0,0,0,5,0,1,0,0,0,0,0,0,0,8,18,2,0,0,0,0,7,2,5,0,3,0,0,5,1,7,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4,0,6,0,0,0,5,0,1,0,0,0,0,0,0,3,4,6,1,2,0,0,0,2,0,2,0,1,0,1,0,0,1,1,20,3,7,0,0,1,10,1,8,0,7,0,0,2,0,4,17,3,1,1,0,0,1,0,0,3,1,3,0,0,0,0,0,2,6
6,0,0,42,101,0,1,0,6,0,3,0,0,0,0,1,11,9,4,0,32,54,0,0,0,3,0,2,0,1,0,0,0,1,9,0,0,68,151,1,4,1,10,0,33,0,0,0,3,11,17,4,2,0,3,25,0,0,0,2,0,2,0,0,0,0,0,2,5
5,3,7,78,59,0,4,0,5,0,9,0,0,0,1,3,11,8,0,1,49,79,0,2,0,0,0,6,0,0,1,0,1,4,16,1,0,126,127,1,4,0,12,2,45,0,0,1,0,10,43,2,0,0,11,17,0,0,0,0,0,6,0,0,0,0,0,2,12
12,1,1,3,3,0,5,1,6,2,25,0,0,1,0,2,17,5,3,0,1,1,0,3,0,1,1,29,0,1,0,0,0,8,14,2,1,13,4,0,5,2,12,7,136,0,0,1,0,9,32,5,1,0,0,2,0,2,0,2,1,10,0,0,0,1,0,4,8
8,1,0,0,13,0,3,1,2,0,15,0,0,0,0,0,16,3,1,0,1,3,0,7,0,1,0,22,0,0,1,0,0,5,18,3,8,8,23,0,7,4,7,2,118,0,0,4,0,13,38,3,0,5,0,8,0,4,0,3,0,14,0,0,0,0,1,1,6
6,2,0,5,19,0,6,2,7,0,13,0,0,0,0,1,11,5,2,1,1,0,0,7,0,5,0,19,0,0,0,0,0,10,18,5,6,21,25,1,6,3,8,0,84,0,0,2,0,9,30,1,0,2,2,4,0,2,0,3,1,8,0,0,0,0,0,2,6
