V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,hom2004
11,2,0,0,0,6,7,5,3,2,5,0,0,6,8,9,14,21
21,5,0,0,0,8,7,0,12,2,10,0,0,11,4,12,14,11
11,3,1,0,0,3,4,1,7,1,6,0,1,7,4,13,15,14
14,3,0,0,0,6,13,0,4,2,5,0,0,8,5,9,8,11
11,4,0,0,0,9,7,3,2,2,5,0,0,6,5,14,13,22
22,2,0,0,0,3,5,3,9,1,11,0,0,6,5,13,15,14
14,8,0,0,0,5,9,1,6,1,18,0,0,1,7,13,13,30
30,5,1,0,0,5,8,0,2,1,7,0,0,4,6,12,8,35
35,1,0,0,0,7,3,0,5,1,3,2,1,3,7,17,10,33
33,9,0,0,0,5,7,5,3,2,9,0,0,2,5,12,13,65
65,5,0,0,0,6,7,3,7,1,5,0,0,6,3,11,12,24
24,3,0,0,0,3,6,2,3,5,9,0,0,4,5,14,11,29
29,7,0,0,0,4,9,1,6,2,6,0,0,4,3,17,7,28
28,7,0,0,0,8,5,0,6,1,14,0,0,2,4,9,18,44
44,5,0,0,0,4,7,2,3,2,5,1,0,5,7,9,14,31
31,12,0,0,0,5,9,2,0,3,7,0,0,5,8,17,29,12
12,5,0,0,0,4,11,3,7,0,4,1,0,8,8,17,30,20
20,8,0,0,0,5,7,3,4,0,18,0,0,11,4,17,35,41
41,9,0,0,0,9,10,1,5,0,6,1,0,10,3,9,28,24
24,10,0,0,0,5,10,0,5,2,8,0,0,6,2,12,36,20
20,8,0,0,0,13,8,0,5,2,15,0,0,9,6,4,26,44
44,9,0,0,0,5,3,0,4,0,8,1,0,4,8,9,30,26
26,7,1,0,0,5,8,2,1,3,7,0,0,8,5,6,32,44
44,4,0,0,0,6,9,3,3,3,8,0,0,7,5,59,24,58
58,3,0,0,0,7,5,2,4,0,7,0,0,6,7,6,14,39
39,6,0,0,0,5,6,5,3,2,6,1,0,6,8,8,33,17
17,4,1,0,0,8,8,6,11,2,12,0,0,7,4,19,43,26
26,5,1,0,0,7,14,10,3,0,12,0,0,2,3,20,39,38
38,6,0,0,0,3,10,12,8,0,12,0,0,5,12,8,34,85
85,2,0,0,0,7,9,8,10,1,6,2,0,8,6,12,41,105
105,8,0,0,0,7,14,9,4,3,10,0,0,8,3,10,33,108
108,8,1,0,0,4,5,9,7,1,4,0,0,4,5,12,35,111
111,9,0,0,0,7,16,11,4,2,8,0,0,8,4,9,20,46
46,10,1,0,0,2,6,5,6,0,12,1,0,5,1,12,26,38
38,6,0,0,0,4,6,11,3,1,8,0,0,3,6,10,46,65
65,6,0,0,0,2,7,11,3,2,5,1,0,2,1,5,33,59
59,5,0,0,0,2,2,5,8,3,9,0,0,6,2,20,38,63
63,4,1,0,0,1,8,6,3,1,4,1,0,4,6,12,47,64
64,8,0,0,0,8,16,10,7,3,0,0,0,2,3,15,31,70
70,6,0,0,0,3,17,3,7,2,5,0,0,4,4,17,25,93
93,10,0,0,0,5,12,10,7,3,16,0,0,13,5,18,38,97
97,6,1,0,0,4,15,9,4,1,8,0,1,6,9,23,25,82
82,6,0,0,0,2,9,11,4,6,7,0,1,8,6,24,27,89
89,11,0,0,0,2,13,10,5,5,5,0,1,4,6,32,31,82
82,11,0,0,0,4,8,8,4,9,7,1,0,3,5,14,28,77
77,10,1,0,0,6,9,8,11,9,7,0,0,4,3,21,40,73
73,9,0,0,0,6,9,9,7,12,6,1,1,3,10,42,33,97
97,5,0,0,0,2,8,2,2,5,8,0,0,4,11,19,17,57
57,7,0,0,0,7,9,10,3,1,10,1,0,1,10,38,31,83
83,1,0,0,0,2,9,8,5,10,7,0,0,7,5,29,44,76
76,4,0,0,0,6,7,11,5,7,11,0,2,1,5,23,65,108
108,13,1,0,0,13,5,18,3,7,7,1,1,3,5,20,60,114
114,11,0,0,0,4,5,11,3,6,8,0,1,9,4,14,51,76
76,10,0,0,0,5,8,16,2,4,8,0,0,2,4,19,67,104
