V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,hom2004
4,1,0,0,0,0,0,0,7,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,0,1,0,0,0,0,2,8,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
11,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,0,1,0,0,0,0,1,11,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13,1,1,0,0,0,0,9,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,0,2,0,0,0,0,4,10,0,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
12,4,0,10,0,0,2,2,0,2,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
5,1,0,15,0,1,0,1,0,1,2,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,10
10,5,0,4,0,0,0,2,4,3,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,13
13,0,0,4,1,0,0,3,1,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,16
16,2,0,18,1,1,0,1,3,0,4,0,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,15
15,6,0,7,0,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,22
22,5,0,6,0,1,0,1,0,0,1,0,3,2,0,1,0,3,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,7
7,3,0,5,0,0,0,2,0,0,0,0,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
