V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,hom2004
32,7,5,418,231,4,16,7,24,0,86,0,0,8,6,13,0,2,1,0,23,2,0,1,0,1,0,9,0,0,0,0,0,0,2,1,0,26,10,1,0,0,2,0,1,0,0,0,0,0,0,0,4,0,93,41,0,3,1,5,0,16,0,0,0,0,9,0,42
42,6,6,345,169,6,17,9,22,0,131,0,17,5,1,23,42,3,0,0,19,2,0,0,0,5,0,8,2,1,0,0,0,3,3,0,0,15,5,0,0,1,1,0,1,0,0,0,1,2,4,2,2,0,90,30,0,2,1,3,0,17,3,1,2,6,10,18,38
38,5,4,416,218,4,24,13,29,0,138,0,13,6,4,21,74,5,0,0,38,6,1,0,0,2,0,12,1,1,0,0,0,5,3,1,0,17,6,0,0,2,1,0,6,1,0,0,0,1,3,0,0,0,94,38,0,4,3,5,0,22,2,1,10,4,6,15,46
46,7,3,436,193,5,19,5,31,0,136,0,13,8,0,16,88,3,0,0,18,6,0,1,2,1,0,31,1,0,0,0,0,5,0,2,0,15,10,0,0,0,0,0,1,0,1,1,1,0,6,4,1,0,77,29,0,2,3,8,0,36,6,1,3,1,7,21,38
38,3,4,471,184,7,22,6,33,0,145,0,16,14,4,22,85,3,1,0,34,5,0,0,3,6,0,13,1,1,1,0,0,1,2,0,0,30,12,1,1,0,3,0,8,7,0,1,0,0,5,1,0,0,63,11,0,0,3,5,0,19,7,2,1,0,1,17,53
53,8,1,452,198,5,25,15,24,0,129,0,11,13,6,24,62,5,0,0,26,2,1,1,1,1,0,5,0,0,0,0,0,3,2,0,0,39,4,0,1,0,4,0,2,0,1,0,1,3,4,0,0,0,70,24,2,3,6,7,0,12,4,2,4,2,2,11,37
37,8,7,469,138,2,14,12,23,0,154,0,15,20,9,20,78,4,1,0,37,1,3,0,0,1,0,10,1,2,1,0,0,6,2,1,0,28,4,0,1,1,2,0,2,1,0,2,0,1,7,2,2,0,74,16,0,3,3,1,0,15,0,1,4,1,3,14,41
41,11,8,362,127,3,23,8,20,0,128,0,8,9,3,11,61,3,0,0,33,6,0,1,1,2,0,6,1,1,1,0,0,2,4,0,0,46,8,0,0,2,3,0,17,0,1,1,0,0,6,3,1,0,68,17,1,3,6,4,0,6,2,5,3,1,10,16,32
32,12,8,412,98,3,21,9,14,0,123,0,20,7,1,12,84,1,0,0,24,10,0,1,0,0,0,10,2,2,2,0,0,5,5,0,0,39,5,0,0,0,3,0,8,0,1,1,0,0,4,3,1,0,98,14,1,2,6,11,0,25,0,1,6,2,3,21,48
48,8,7,312,94,8,16,13,18,0,119,0,15,7,5,16,55,5,0,0,27,1,1,1,0,1,0,10,1,1,0,0,0,6,11,1,0,28,8,0,0,2,5,0,4,2,0,2,2,1,4,7,0,0,80,26,2,4,2,3,0,13,4,5,6,0,5,14,51
51,8,6,427,135,5,12,16,25,0,177,1,13,7,5,11,63,2,0,0,27,3,0,0,2,1,0,16,0,1,0,2,1,15,6,1,1,27,2,0,0,1,0,0,18,1,3,0,0,4,6,3,0,0,77,11,3,4,5,6,0,22,2,8,6,5,9,16,66
66,7,4,299,117,2,19,11,21,0,181,1,10,8,5,26,49,6,0,0,22,7,1,0,2,1,0,13,0,1,0,0,2,11,5,0,0,24,5,0,0,0,1,0,18,0,2,0,1,0,0,6,1,2,66,17,0,3,5,9,1,26,6,5,7,4,3,9,70
70,14,5,298,107,3,9,10,27,1,202,0,11,6,6,12,41,5,1,0,24,3,0,1,0,3,0,17,0,0,0,0,2,6,7,0,0,21,4,0,0,0,4,0,17,2,1,1,0,0,4,4,1,0,59,14,0,0,0,4,1,40,3,4,6,1,4,10,62
62,12,4,302,102,2,13,8,20,2,259,0,6,3,1,5,30,1,0,0,29,5,0,1,0,2,0,28,0,1,0,1,2,9,6,0,0,19,5,1,1,0,0,0,14,0,1,0,0,1,2,6,2,0,54,13,2,2,3,5,0,66,9,4,4,3,4,11,65
65,6,0,238,78,4,20,8,18,0,237,0,5,10,2,5,28,2,0,0,35,2,0,1,1,0,0,9,0,3,0,0,1,8,3,0,0,18,0,0,0,1,1,0,5,0,0,0,0,1,0,7,0,0,60,13,1,2,1,2,0,37,5,2,2,4,5,8,73
73,14,0,322,110,3,24,11,17,3,281,0,10,11,2,45,49,4,0,0,33,3,0,1,0,0,0,5,1,1,1,0,0,3,7,0,0,22,3,0,0,0,2,0,6,1,0,1,1,0,0,16,0,0,79,11,0,0,0,8,3,14,4,3,4,3,6,13,94
94,2,0,400,76,6,21,12,19,4,240,1,12,12,1,12,37,3,0,0,19,4,0,0,1,0,0,6,1,1,0,1,0,1,6,1,0,21,2,2,0,0,2,0,8,0,0,0,0,0,1,12,0,1,89,21,0,0,1,8,1,16,8,1,5,3,9,11,119
119,14,2,412,80,4,24,6,23,9,281,1,7,13,2,13,40,2,0,0,21,0,1,1,2,2,0,9,1,2,1,0,1,10,3,0,0,18,4,1,0,0,1,0,6,0,0,0,0,1,1,7,1,2,75,16,3,4,3,4,0,20,6,2,6,3,0,13,98
98,9,0,421,85,3,19,17,18,5,193,1,7,11,4,18,43,3,1,0,22,7,0,2,1,2,0,10,2,1,1,2,0,4,8,0,0,18,0,1,0,1,2,1,5,0,0,0,0,0,2,11,2,1,79,16,1,3,2,5,1,24,2,2,5,1,0,12,96
96,13,5,445,100,6,12,19,23,4,216,0,13,13,0,11,31,4,0,0,29,5,1,0,0,1,0,4,1,2,0,1,1,4,7,1,0,22,4,0,0,0,5,0,3,0,0,0,0,0,4,7,0,0,80,22,1,4,5,0,0,22,3,3,14,5,12,16,120
120,8,0,462,94,2,13,11,15,7,300,1,17,7,4,14,33,5,0,0,36,6,0,1,1,6,0,12,0,3,2,1,1,11,2,4,0,9,3,0,0,0,0,0,3,0,1,0,0,0,2,11,1,0,95,15,1,5,1,4,0,13,2,9,4,1,10,14,130
130,13,2,453,98,1,15,13,6,7,247,0,10,10,1,6,43,7,2,0,22,6,1,0,1,2,0,10,1,1,0,0,0,12,6,1,0,18,4,1,0,2,1,0,14,0,0,0,0,0,3,7,2,1,86,23,3,3,5,21,1,0,3,4,2,4,9,16,119
119,11,0,273,70,9,15,16,17,3,252,0,14,9,5,12,57,6,0,0,21,1,1,0,3,0,0,3,1,1,1,0,0,16,5,1,0,12,5,1,0,0,2,0,11,0,1,1,1,0,3,7,2,1,38,13,1,4,2,1,1,16,3,3,7,4,6,8,101
101,9,0,238,87,7,14,12,13,3,306,0,13,7,3,19,75,8,1,2,16,2,0,0,2,1,0,13,0,2,0,1,0,14,9,0,1,9,6,1,0,0,3,1,8,0,1,0,0,0,2,7,0,4,52,14,1,0,0,0,0,9,6,2,6,4,2,7,103
103,6,0,219,92,5,8,13,8,1,274,0,13,4,4,10,41,3,0,0,10,2,0,1,1,2,0,8,0,2,1,0,1,4,4,0,1,7,0,0,0,0,2,0,7,1,1,0,1,1,3,10,2,2,45,15,0,3,2,6,0,9,6,4,0,2,5,12,121
121,10,0,199,82,2,12,7,12,4,286,0,6,2,1,6,53,5,0,0,14,3,1,0,0,2,0,8,0,2,0,0,0,5,4,0,0,12,4,0,0,1,2,0,6,0,0,0,0,0,1,15,0,3,39,3,0,3,0,6,0,16,3,4,3,3,0,5,112
112,8,0,184,63,0,13,8,19,7,149,0,12,12,3,7,41,3,0,0,11,1,0,4,0,4,0,6,2,0,0,0,0,5,5,0,0,5,4,0,0,0,2,1,6,2,0,1,0,0,5,13,1,0,34,5,0,0,1,4,0,15,2,2,2,3,4,12,119
119,11,0,214,73,7,7,10,13,9,224,1,10,7,4,13,76,4,0,0,19,3,1,0,1,1,0,21,0,0,0,1,0,11,5,3,0,11,3,1,1,0,1,0,7,2,1,2,0,0,7,9,1,0,44,8,2,2,1,9,2,16,3,6,4,4,6,22,145
145,10,0,220,81,4,19,8,14,9,220,1,14,7,6,14,53,8,0,0,13,2,1,0,0,1,0,12,0,1,0,0,0,8,2,0,0,13,2,0,1,1,3,0,8,1,0,1,0,0,4,14,0,0,43,10,2,3,1,1,3,13,2,5,1,2,2,9,142
142,12,0,214,71,4,16,12,17,9,222,2,24,12,3,11,56,4,1,0,14,7,0,2,0,3,0,10,0,2,0,1,0,6,2,0,0,6,0,0,0,0,3,0,8,0,0,0,0,1,7,15,3,0,59,12,0,0,2,2,0,24,3,7,4,3,1,23,144
144,5,0,217,53,6,25,16,13,4,200,0,15,15,1,11,51,2,0,0,19,4,1,2,2,0,0,7,1,0,0,0,2,10,3,1,0,11,2,0,0,0,1,0,6,0,2,0,0,1,1,8,2,0,54,11,0,1,3,1,2,16,3,8,7,4,6,22,165
165,11,0,239,65,3,19,16,16,4,136,1,16,12,5,19,55,4,0,0,14,5,2,0,2,1,0,4,0,3,0,0,1,5,9,1,0,12,6,0,1,1,0,0,2,0,0,0,0,0,6,10,0,1,64,15,1,3,4,6,0,21,7,5,3,3,3,15,136
136,5,0,216,68,5,15,15,20,1,171,0,10,14,3,10,77,7,0,0,12,4,1,1,1,0,0,28,0,5,0,1,1,5,9,0,0,14,5,0,1,0,3,0,5,2,2,0,0,1,10,17,2,0,52,13,4,0,5,6,2,24,3,7,3,4,3,16,135
135,8,0,186,84,2,16,14,10,3,171,0,15,10,2,12,56,6,2,0,11,7,0,0,1,2,0,13,0,1,1,0,2,4,6,0,1,15,1,2,0,1,1,0,11,0,1,0,1,1,7,14,3,0,60,5,2,2,3,4,0,26,1,5,4,1,3,16,145
