V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,hom2004
2,1,0,26,10,1,0,0,2,0,1,0,0,0,0,0,0,32,7,5,418,231,4,16,7,24,0,86,0,0,8,6,13,0,0,4,0,93,41,0,3,1,5,0,16,0,0,0,0,9,0,3
3,0,0,15,5,0,0,1,1,0,1,0,0,0,1,2,4,42,6,6,345,169,6,17,9,22,0,131,0,17,5,1,23,42,2,2,0,90,30,0,2,1,3,0,17,3,1,2,6,10,18,3
3,1,0,17,6,0,0,2,1,0,6,1,0,0,0,1,3,38,5,4,416,218,4,24,13,29,0,138,0,13,6,4,21,74,0,0,0,94,38,0,4,3,5,0,22,2,1,10,4,6,15,0
0,2,0,15,10,0,0,0,0,0,1,0,1,1,1,0,6,46,7,3,436,193,5,19,5,31,0,136,0,13,8,0,16,88,4,1,0,77,29,0,2,3,8,0,36,6,1,3,1,7,21,2
2,0,0,30,12,1,1,0,3,0,8,7,0,1,0,0,5,38,3,4,471,184,7,22,6,33,0,145,0,16,14,4,22,85,1,0,0,63,11,0,0,3,5,0,19,7,2,1,0,1,17,2
2,0,0,39,4,0,1,0,4,0,2,0,1,0,1,3,4,53,8,1,452,198,5,25,15,24,0,129,0,11,13,6,24,62,0,0,0,70,24,2,3,6,7,0,12,4,2,4,2,2,11,2
2,1,0,28,4,0,1,1,2,0,2,1,0,2,0,1,7,37,8,7,469,138,2,14,12,23,0,154,0,15,20,9,20,78,2,2,0,74,16,0,3,3,1,0,15,0,1,4,1,3,14,4
4,0,0,46,8,0,0,2,3,0,17,0,1,1,0,0,6,41,11,8,362,127,3,23,8,20,0,128,0,8,9,3,11,61,3,1,0,68,17,1,3,6,4,0,6,2,5,3,1,10,16,5
5,0,0,39,5,0,0,0,3,0,8,0,1,1,0,0,4,32,12,8,412,98,3,21,9,14,0,123,0,20,7,1,12,84,3,1,0,98,14,1,2,6,11,0,25,0,1,6,2,3,21,11
11,1,0,28,8,0,0,2,5,0,4,2,0,2,2,1,4,48,8,7,312,94,8,16,13,18,0,119,0,15,7,5,16,55,7,0,0,80,26,2,4,2,3,0,13,4,5,6,0,5,14,6
6,1,1,27,2,0,0,1,0,0,18,1,3,0,0,4,6,51,8,6,427,135,5,12,16,25,0,177,1,13,7,5,11,63,3,0,0,77,11,3,4,5,6,0,22,2,8,6,5,9,16,5
5,0,0,24,5,0,0,0,1,0,18,0,2,0,1,0,0,66,7,4,299,117,2,19,11,21,0,181,1,10,8,5,26,49,6,1,2,66,17,0,3,5,9,1,26,6,5,7,4,3,9,7
7,0,0,21,4,0,0,0,4,0,17,2,1,1,0,0,4,70,14,5,298,107,3,9,10,27,1,202,0,11,6,6,12,41,4,1,0,59,14,0,0,0,4,1,40,3,4,6,1,4,10,6
6,0,0,19,5,1,1,0,0,0,14,0,1,0,0,1,2,62,12,4,302,102,2,13,8,20,2,259,0,6,3,1,5,30,6,2,0,54,13,2,2,3,5,0,66,9,4,4,3,4,11,3
3,0,0,18,0,0,0,1,1,0,5,0,0,0,0,1,0,65,6,0,238,78,4,20,8,18,0,237,0,5,10,2,5,28,7,0,0,60,13,1,2,1,2,0,37,5,2,2,4,5,8,7
7,0,0,22,3,0,0,0,2,0,6,1,0,1,1,0,0,73,14,0,322,110,3,24,11,17,3,281,0,10,11,2,45,49,16,0,0,79,11,0,0,0,8,3,14,4,3,4,3,6,13,6
6,1,0,21,2,2,0,0,2,0,8,0,0,0,0,0,1,94,2,0,400,76,6,21,12,19,4,240,1,12,12,1,12,37,12,0,1,89,21,0,0,1,8,1,16,8,1,5,3,9,11,3
3,0,0,18,4,1,0,0,1,0,6,0,0,0,0,1,1,119,14,2,412,80,4,24,6,23,9,281,1,7,13,2,13,40,7,1,2,75,16,3,4,3,4,0,20,6,2,6,3,0,13,8
8,0,0,18,0,1,0,1,2,1,5,0,0,0,0,0,2,98,9,0,421,85,3,19,17,18,5,193,1,7,11,4,18,43,11,2,1,79,16,1,3,2,5,1,24,2,2,5,1,0,12,7
7,1,0,22,4,0,0,0,5,0,3,0,0,0,0,0,4,96,13,5,445,100,6,12,19,23,4,216,0,13,13,0,11,31,7,0,0,80,22,1,4,5,0,0,22,3,3,14,5,12,16,2
2,4,0,9,3,0,0,0,0,0,3,0,1,0,0,0,2,120,8,0,462,94,2,13,11,15,7,300,1,17,7,4,14,33,11,1,0,95,15,1,5,1,4,0,13,2,9,4,1,10,14,6
6,1,0,18,4,1,0,2,1,0,14,0,0,0,0,0,3,130,13,2,453,98,1,15,13,6,7,247,0,10,10,1,6,43,7,2,1,86,23,3,3,5,21,1,0,3,4,2,4,9,16,5
5,1,0,12,5,1,0,0,2,0,11,0,1,1,1,0,3,119,11,0,273,70,9,15,16,17,3,252,0,14,9,5,12,57,7,2,1,38,13,1,4,2,1,1,16,3,3,7,4,6,8,9
